,1,2,5,10
1980-01-12,0.07865168539325842,0.02247191011235955,0.02247191011235955,0.011235955056179775
1980-01-26,0.06818181818181818,0.011363636363636364,0.011363636363636364,0.0
1980-02-09,0.05555555555555555,0.0,0.0,0.0
1980-02-23,0.054945054945054944,0.01098901098901099,0.0,0.0
1980-03-08,0.043010752688172046,0.010752688172043012,0.0,0.0
1980-03-22,0.054945054945054944,0.02197802197802198,0.01098901098901099,0.0
1980-04-19,0.08602150537634409,0.03225806451612903,0.010752688172043012,0.0
1980-05-03,0.07692307692307693,0.03296703296703297,0.01098901098901099,0.0
1980-05-17,0.08695652173913043,0.03260869565217391,0.010869565217391304,0.0
1980-05-31,0.07692307692307693,0.03296703296703297,0.01098901098901099,0.0
1980-06-14,0.056818181818181816,0.022727272727272728,0.0,0.0
1980-06-28,0.04597701149425287,0.022988505747126436,0.0,0.0
1980-07-12,0.056818181818181816,0.022727272727272728,0.0,0.0
1980-07-26,0.05813953488372093,0.023255813953488372,0.0,0.0
1980-08-09,0.045454545454545456,0.022727272727272728,0.0,0.0
1980-08-23,0.022727272727272728,0.0,0.0,0.0
1980-09-06,0.045454545454545456,0.011363636363636364,0.0,0.0
1980-09-20,0.05555555555555555,0.011111111111111112,0.0,0.0
1980-10-04,0.06666666666666667,0.011111111111111112,0.0,0.0
1980-10-18,0.07777777777777778,0.011111111111111112,0.0,0.0
1980-11-01,0.07777777777777778,0.022222222222222223,0.0,0.0
1980-11-15,0.06741573033707865,0.02247191011235955,0.0,0.0
1980-11-29,0.06593406593406594,0.01098901098901099,0.0,0.0
1980-12-13,0.0898876404494382,0.011235955056179775,0.0,0.0
1980-12-27,0.0449438202247191,0.011235955056179775,0.0,0.0
1981-01-10,0.045454545454545456,0.011363636363636364,0.0,0.0
1981-01-24,0.05434782608695652,0.010869565217391304,0.0,0.0
1981-02-07,0.056179775280898875,0.011235955056179775,0.011235955056179775,0.011235955056179775
1981-02-21,0.06818181818181818,0.011363636363636364,0.011363636363636364,0.011363636363636364
1981-03-07,0.09302325581395349,0.011627906976744186,0.011627906976744186,0.011627906976744186
1981-03-21,0.11235955056179775,0.011235955056179775,0.011235955056179775,0.011235955056179775
1981-04-04,0.1111111111111111,0.011111111111111112,0.011111111111111112,0.011111111111111112
1981-04-18,0.08888888888888889,0.022222222222222223,0.011111111111111112,0.011111111111111112
1981-05-02,0.1,0.022222222222222223,0.011111111111111112,0.011111111111111112
1981-05-16,0.08888888888888889,0.022222222222222223,0.011111111111111112,0.011111111111111112
1981-05-30,0.07777777777777778,0.022222222222222223,0.0,0.0
1981-06-13,0.07865168539325842,0.02247191011235955,0.0,0.0
1981-06-27,0.07777777777777778,0.011111111111111112,0.0,0.0
1981-07-11,0.1,0.022222222222222223,0.0,0.0
1981-07-25,0.10344827586206896,0.022988505747126436,0.0,0.0
1981-08-08,0.05813953488372093,0.023255813953488372,0.0,0.0
1981-08-22,0.056818181818181816,0.022727272727272728,0.0,0.0
1981-09-05,0.0449438202247191,0.011235955056179775,0.0,0.0
1981-09-19,0.022727272727272728,0.011363636363636364,0.0,0.0
1981-10-03,0.011111111111111112,0.011111111111111112,0.0,0.0
1981-10-17,0.010869565217391304,0.010869565217391304,0.0,0.0
1981-10-31,0.010526315789473684,0.010526315789473684,0.0,0.0
1981-11-14,0.010416666666666666,0.010416666666666666,0.0,0.0
1981-11-28,0.010638297872340425,0.010638297872340425,0.0,0.0
1981-12-12,0.021505376344086023,0.010752688172043012,0.0,0.0
1981-12-26,0.010638297872340425,0.0,0.0,0.0
1982-01-09,0.010638297872340425,0.0,0.0,0.0
1982-01-23,0.031578947368421054,0.0,0.0,0.0
1982-02-06,0.03260869565217391,0.0,0.0,0.0
1982-02-20,0.04395604395604396,0.0,0.0,0.0
1982-03-06,0.04395604395604396,0.0,0.0,0.0
1982-03-20,0.054945054945054944,0.01098901098901099,0.0,0.0
1982-04-03,0.033707865168539325,0.011235955056179775,0.0,0.0
1982-04-17,0.033707865168539325,0.011235955056179775,0.0,0.0
1982-05-01,0.03225806451612903,0.010752688172043012,0.0,0.0
1982-05-15,0.03225806451612903,0.010752688172043012,0.0,0.0
1982-05-29,0.03225806451612903,0.010752688172043012,0.0,0.0
1982-06-12,0.021052631578947368,0.0,0.0,0.0
1982-06-26,0.01098901098901099,0.0,0.0,0.0
1982-07-10,0.010752688172043012,0.0,0.0,0.0
1982-07-24,0.022222222222222223,0.011111111111111112,0.0,0.0
1982-08-07,0.02197802197802198,0.01098901098901099,0.0,0.0
1982-08-21,0.054945054945054944,0.01098901098901099,0.0,0.0
1982-09-04,0.07692307692307693,0.01098901098901099,0.0,0.0
1982-09-18,0.06593406593406594,0.01098901098901099,0.0,0.0
1982-10-02,0.06521739130434782,0.010869565217391304,0.0,0.0
1982-10-16,0.06315789473684211,0.010526315789473684,0.0,0.0
1982-10-30,0.05319148936170213,0.010638297872340425,0.0,0.0
1982-11-13,0.04395604395604396,0.01098901098901099,0.0,0.0
1982-11-27,0.043478260869565216,0.010869565217391304,0.0,0.0
1982-12-11,0.044444444444444446,0.0,0.0,0.0
1982-12-25,0.03333333333333333,0.0,0.0,0.0
1983-01-08,0.044444444444444446,0.011111111111111112,0.0,0.0
1983-01-22,0.0449438202247191,0.011235955056179775,0.0,0.0
1983-02-05,0.033707865168539325,0.011235955056179775,0.0,0.0
1983-02-19,0.03296703296703297,0.01098901098901099,0.0,0.0
1983-03-05,0.04395604395604396,0.01098901098901099,0.0,0.0
1983-03-19,0.04395604395604396,0.01098901098901099,0.0,0.0
