,title,artist,rank,date,total_swear,percent_swear
23000,Rumors,Gucci Mane Featuring Lil Durk,51,2022-02-12,26.0,0.040498442367601244
23001,Vice City,XXXTENTACION,89,2022-02-12,2.0,0.004914004914004914
23002,Johnny P's Caddy,Benny The Butcher & J. Cole,72,2022-02-12,28.0,0.038408779149519894
23003,Cigarettes,Juice WRLD,70,2022-02-26,0.0,0.0
23004,She's All I Wanna Be,Tate McRae,44,2022-04-09,0.0,0.0
23005,Don't Play That,King Von & 21 Savage,68,2022-02-26,20.0,0.03460207612456748
23006,Boyfriend,Dove Cameron,17,2022-06-18,4.0,0.012307692307692308
23007,Stay Alive,Jung Kook,95,2022-02-26,0.0,0.0
23008,Good Morning Gorgeous,Mary J. Blige,83,2022-02-26,0.0,0.0
23009,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,21,2022-02-26,0.0,0.0
23010,Worst Day,Future,34,2022-02-26,3.0,0.004470938897168405
23011,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",46,2022-02-26,14.0,0.014973262032085561
23012,Nail Tech,Jack Harlow,40,2022-04-23,9.0,0.014950166112956811
23013,Rocking A Cardigan In Atlanta,Lil Shordie Scott,94,2022-03-26,21.0,0.061764705882352944
23014,Ahhh Ha,Lil Durk,18,2022-03-26,58.0,0.06216505894962487
23015,I Hate YoungBoy,YoungBoy Never Broke Again,79,2022-03-12,93.0,0.07131901840490798
23016,Usain Boo,Kodak Black,81,2022-03-12,5.0,0.010660980810234541
23017,I Wish,Kodak Black,90,2022-03-12,6.0,0.00946372239747634
23018,To The Moon!,JNR CHOI & Sam Tompkins,38,2022-05-07,8.0,0.01762114537444934
23019,When I'm Gone,Alesso / Katy Perry,91,2022-03-12,0.0,0.0
23020,Banking On Me,Gunna,74,2022-03-12,5.0,0.0073964497041420114
23021,I'm Tired,Labrinth & Zendaya,76,2022-03-12,0.0,0.0
23022,Blocklist,Lil Durk,69,2022-03-26,9.0,0.018442622950819672
23023,Difference Is,Lil Durk Featuring Summer Walker,73,2022-03-26,52.0,0.09012131715771231
23024,Federal Nightmares,Lil Durk,85,2022-03-26,7.0,0.02
23025,Headtaps,Lil Durk,58,2022-03-26,9.0,0.015873015873015872
23026,Started From,Lil Durk,55,2022-03-26,5.0,0.011037527593818985
23027,Bones,Imagine Dragons,47,2022-09-24,0.0,0.0
23028,Give Heaven Some Hell,HARDY,72,2022-05-07,4.0,0.00954653937947494
23029,Shootout @ My Crib,Lil Durk,53,2022-03-26,14.0,0.023809523809523808
23030,Grow Up/Keep It On Speaker,Lil Durk,65,2022-03-26,10.0,0.018050541516245487
23031,Smoking & Thinking,Lil Durk,60,2022-03-26,20.0,0.041407867494824016
23032,Handsomer,Russ Featuring Ktlyn,40,2022-03-26,2.0,0.003898635477582846
23033,Something In The Way,Nirvana,46,2022-03-26,0.0,0.0
23034,Sweetest Pie,Megan Thee Stallion & Dua Lipa,15,2022-03-26,12.0,0.016643550624133148
23035,Barbarian,Lil Durk,48,2022-03-26,42.0,0.08433734939759036
23036,Bam Bam,Camila Cabello Featuring Ed Sheeran,21,2022-05-07,1.0,0.0018796992481203006
23037,Petty Too,Lil Durk Featuring Future,26,2022-03-26,51.0,0.09306569343065693
23038,What Happened To Virgil,Lil Durk Featuring Gunna,24,2022-03-26,22.0,0.03475513428120063
23039,Thinking With My Dick,Kevin Gates Featuring Juicy J,37,2022-03-26,28.0,0.0707070707070707
23040,No Interviews,Lil Durk,30,2022-03-26,23.0,0.033236994219653176
23041,Golden Child,Lil Durk,34,2022-03-26,25.0,0.05040322580645161
23042,Envolver,Anitta,74,2022-04-09,0.0,0.0
23043,X Ultima Vez,Daddy Yankee & Bad Bunny,73,2022-04-09,1.0,0.0021551724137931034
23044,We Go Up,Nicki Minaj & Fivio Foreign,58,2022-04-09,46.0,0.04247460757156048
23045,Sigue,J Balvin & Ed Sheeran,89,2022-04-09,0.0,0.0
23046,Blick Blick!,Coi Leray & Nicki Minaj,87,2022-04-09,17.0,0.026813880126182965
23047,Over,Lucky Daye,77,2022-04-09,2.0,0.005221932114882507
23048,She Likes It,Russell Dickerson & Jake Scott,73,2022-10-22,0.0,0.0
23049,Tom's Diner,AnnenMayKantereit & Giant Rooks,78,2022-04-09,0.0,0.0
23050,Chaotic,Tate McRae,80,2022-04-09,6.0,0.017543859649122806
23051,Money So Big,Yeat,99,2022-04-09,15.0,0.022091310751104567
23052,Soy El Unico,Yahritza y Su Esencia,20,2022-04-09,0.0,0.0
23053,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),49,2022-04-09,0.0,0.0
23054,As It Was,Harry Styles,1,2022-09-10,0.0,0.0
23055,Psychofreak,Camila Cabello Featuring WILLOW,75,2022-04-23,0.0,0.0
23056,In My Head,Lil Tjay,64,2022-04-23,13.0,0.020833333333333332
23057,Desesperados,Rauw Alejandro & Chencho Corleone,92,2022-07-16,0.0,0.0
23058,Neck & Wrist,Pusha T Featuring JAY-Z & Pharrell Williams,76,2022-05-07,3.0,0.005964214711729622
23059,When You're Gone,Shawn Mendes,50,2022-05-07,0.0,0.0
23060,Damn Strait,Scotty McCreery,38,2022-07-16,11.0,0.029490616621983913
23061,Thump Shit,42 Dugg & EST Gee,79,2022-04-23,73.0,0.09057071960297766
23062,Treat Me,Chloe,81,2022-04-23,1.0,0.002053388090349076
23063,Take My Name,Parmalee,22,2022-06-18,0.0,0.0
23064,Complete Mess,5 Seconds Of Summer,85,2022-04-23,0.0,0.0
23065,Right On,Lil Baby,13,2022-04-23,28.0,0.03713527851458886
23066,In A Minute,Lil Baby,14,2022-04-23,12.0,0.015209125475285171
23067,First Class,Jack Harlow,1,2022-04-23,1.0,0.00196078431372549
23068,2step,Ed Sheeran Featuring Lil Baby,48,2022-07-16,2.0,0.004219409282700422
