,title,artist,rank,date,total_swear,percent_swear
0,What About Us,The Coasters,50,1960-01-04,0.0,0.0
1,Swingin' On A Rainbow,Frankie Avalon,39,1960-01-04,0.0,0.0
2,Misty,Johnny Mathis,40,1960-01-04,0.0,0.0
3,He'll Have To Go,Jim Reeves,2,1960-03-14,0.0,0.0
4,Believe Me,Royal Teens,42,1960-01-04,0.0,0.0
5,Dance With Me,The Drifters,43,1960-01-04,0.0,0.0
6,Just As Much As Ever,Bob Beckham,44,1960-01-04,0.0,0.0
7,Oh! Carol,Neil Sedaka,26,1960-01-04,0.0,0.0
8,Talk That Talk,Jackie Wilson,35,1960-01-04,0.0,0.0
9,Mighty Good,Ricky Nelson,49,1960-01-04,0.0,0.0
10,This Time Of The Year,Brook Benton,66,1960-01-18,0.0,0.0
11,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,73,1960-01-04,0.0,0.0
12,Love Potion No. 9,The Clovers,76,1960-01-04,0.0,0.0
13,One Mint Julep,Chet Atkins,82,1960-02-01,0.0,0.0
14,Deck Of Cards,Wink Martindale,96,1960-01-04,0.0,0.0
15,Do-Re-Mi,Mitch Miller,94,1960-01-04,0.0,0.0
16,How About That,Dee Clark,38,1960-01-04,0.0,0.0
17,Scarlet Ribbons (For Her Hair),The Browns,17,1960-01-04,0.0,0.0
18,Way Down Yonder In New Orleans,Freddie Cannon,5,1960-01-04,0.0,0.0
19,Heartaches By The Number,Guy Mitchell,6,1960-01-04,0.0,0.0
20,It's Time To Cry,Paul Anka,7,1960-01-04,0.0,0.0
21,Among My Souvenirs,Connie Francis,8,1960-01-04,0.0,0.0
22,Pretty Blue Eyes,Steve Lawrence,9,1960-01-04,0.0,0.0
23,"Go, Jimmy, Go",Jimmy Clanton,5,1960-02-01,0.0,0.0
24,We Got Love,Bobby Rydell,11,1960-01-04,0.0,0.0
25,The Village Of St. Bernadette,Andy Williams,8,1960-01-18,0.0,0.0
26,El Paso,Marty Robbins,1,1960-01-04,0.0,0.0
27,Running Bear,Johnny Preston,1,1960-01-18,0.0,0.0
28,Mack The Knife,Bobby Darin,12,1960-01-04,0.0,0.0
29,Why,Frankie Avalon,2,1960-01-04,0.0,0.0
30,Sandy,Larry Hall,15,1960-01-04,0.0,0.0
31,Hound Dog Man,Fabian,15,1960-01-18,0.0,0.0
32,You Got What It Takes,Marv Johnson,13,1960-02-01,0.0,0.0
33,Not One Minute More,Della Reese,18,1960-01-18,0.0,0.0
34,This Friendly World,Fabian,20,1960-01-04,0.0,0.0
35,The Little Drummer Boy,The Harry Simeone Chorale,22,1960-01-04,0.0,0.0
36,The Big Hurt,Miss Toni Fisher,3,1960-01-04,0.0,0.0
37,Don't You Know,Della Reese,34,1960-01-04,0.0,0.0
38,Primrose Lane,Jerry Wallace With The Jewels,74,1960-01-04,0.0,0.0
39,I Wanna Be Loved,Ricky Nelson,32,1960-01-04,0.0,0.0
40,Mr. Blue,The Fleetwoods,31,1960-01-04,0.0,0.0
41,Come Into My Heart,Lloyd Price and His Orchestra,30,1960-01-04,0.0,0.0
42,Teen Angel,Mark Dinning,1,1960-02-15,0.0,0.0
43,Be My Guest,Fats Domino,27,1960-01-04,0.0,0.0
44,So Many Ways,Brook Benton,25,1960-01-04,0.0,0.0
45,If I Had A Girl,Rod Lauren,31,1960-02-01,0.0,0.0
46,Where Or When,Dion & The Belmonts,4,1960-02-01,0.0,0.0
47,The Sound Of Music,Patti Page,90,1960-01-04,0.0,0.0
48,One More Chance,Rod Bernard,100,1960-01-04,0.0,0.0
49,Sweet Nothin's,Brenda Lee,5,1960-03-28,0.0,0.0
50,Run Red Run,The Coasters,42,1960-02-01,0.0,0.0
51,Promise Me A Rose (A Slight Detail),Anita Bryant,81,1960-01-04,0.0,0.0
52,Rockin' Little Angel,Ray Smith,22,1960-02-29,0.0,0.0
53,The Little Drummer Boy,Johnny Cash,85,1960-01-04,0.0,0.0
54,Little Things Mean A Lot,Joni James,35,1960-02-01,0.0,0.0
55,Danny Boy,Conway Twitty,33,1960-01-04,0.0,0.0
56,God Bless America,Connie Francis,72,1960-01-18,0.0,0.0
57,Riverboat,Faron Young,83,1960-01-18,0.0,0.0
58,"(If You Cry) True Love, True Love",The Drifters,55,1960-01-04,0.0,0.0
59,No Love Have I,Webb Pierce,54,1960-02-01,0.0,0.0
60,Reveille Rock,Johnny And The Hurricanes,57,1960-01-04,0.0,0.0
61,Always,Sammy Turner,59,1960-01-04,0.0,0.0
62,Mary Don't You Weep,Stonewall Jackson,53,1960-01-04,0.0,0.0
63,Happy Anniversary,Jane Morgan,98,1960-01-04,0.0,0.0
64,Climb Ev'ry Mountain,Tony Bennett,76,1960-01-18,0.0,0.0
65,Honey Hush,Joe Turner,57,1960-01-18,0.0,0.0
66,Lonely Blue Boy,Conway Twitty,8,1960-02-15,0.0,0.0
67,Wont'cha Come Home,Lloyd Price and His Orchestra,66,1960-01-04,0.0,0.0
68,Handy Man,Jimmy Jones,2,1960-02-29,0.0,0.0
69,Crazy Arms,Bob Beckham,36,1960-02-29,0.0,0.0
70,High School U.S.A.,Tommy Facenda,69,1960-01-04,0.0,0.0
71,Lucky Devil,"Carl Dobkins, Jr.",27,1960-01-18,0.0,0.0
72,Let's Try Again,Clyde McPhatter,48,1960-01-18,0.0,0.0
73,Beyond The Sea,Bobby Darin,6,1960-02-29,0.0,0.0
74,Let It Be Me,The Everly Brothers,8,1960-02-29,0.0,0.0
75,Up Town,Roy Orbison,72,1960-02-15,0.0,0.0
76,I Forgot More Than You'll Ever Know,Sonny James,80,1960-02-01,0.0,0.0
77,Tell Her For Me,Adam Wade,66,1960-02-15,0.0,0.0
78,Am I That Easy To Forget,Debbie Reynolds,33,1960-03-28,0.0,0.0
79,Why Do I Love You So,Johnny Tillotson,43,1960-02-15,0.0,0.0
80,Let The Good Times Roll,Ray Charles,82,1960-01-18,0.0,0.0
81,Too Much Tequila,The Champs,30,1960-02-29,0.0,0.0
82,What In The World's Come Over You,Jack Scott,5,1960-02-29,0.0,0.0
83,Forever,The Little Dippers,9,1960-03-28,0.0,0.0
84,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,6,1960-03-14,0.0,0.0
85,Let It Rock,Chuck Berry,75,1960-02-15,0.0,0.0
86,Time And The River,Nat King Cole,34,1960-02-15,0.0,0.0
87,My Little Marine,Jamie Horton,84,1960-02-01,0.0,0.0
88,Little Bitty Girl,Bobby Rydell,19,1960-03-28,0.0,0.0
89,Sixteen Reasons,Connie Stevens,5,1960-05-09,0.0,0.0
90,Fannie Mae,Buster Brown,39,1960-03-28,0.0,0.0
91,Money (That's what I want),Barrett Strong,24,1960-04-11,0.0,0.0
92,Harbor Lights,The Platters,8,1960-03-28,0.0,0.0
93,Country Boy,Fats Domino,25,1960-02-29,0.0,0.0
94,(There Was A) Tall Oak Tree,Dorsey Burnette,31,1960-03-14,0.0,0.0
95,(Baby) Hully Gully,The Olympics,77,1960-02-15,0.0,0.0
96,China Doll,The Ames Brothers,38,1960-02-29,0.0,0.0
97,Wild One,Bobby Rydell,2,1960-03-28,0.0,0.0
98,Midnite Special,Paul Evans,18,1960-02-29,0.0,0.0
99,Beatnik Fly,Johnny And The Hurricanes,16,1960-03-14,0.0,0.0
100,Outside My Window,The Fleetwoods,28,1960-03-14,0.0,0.0
101,Eternally,Sarah Vaughan,46,1960-02-29,0.0,0.0
102,Bad Boy,Marty Wilde,49,1960-02-29,0.0,0.0
103,Paradise,Sammy Turner,46,1960-03-28,0.0,0.0
104,Don't Let The Sun Catch You Cryin',Ray Charles,95,1960-02-15,0.0,0.0
105,Clementine,Jan & Dean,67,1960-02-29,0.0,0.0
106,Honey Love,Narvel Felts,90,1960-02-15,0.0,0.0
107,Just A Little Bit,Rosco Gordon,64,1960-02-29,0.0,0.0
108,Forever,Billy Walker,83,1960-02-15,0.0,0.0
109,I Know What God Is,Perry Como,81,1960-02-15,0.0,0.0
110,"Too Pooped To Pop (""Casey"")",Chuck Berry,42,1960-02-29,0.0,0.0
111,Let The Little Girl Dance,Billy Bland,9,1960-05-23,0.0,0.0
112,Baby What You Want Me To Do,Jimmy Reed,37,1960-02-29,0.0,0.0
113,If You Need Me,Fats Domino,98,1960-02-15,0.0,0.0
114,Delaware,Perry Como,23,1960-02-29,0.0,0.0
115,El Matador,The Kingston Trio,36,1960-03-28,0.0,0.0
116,Anyway The Wind Blows,Doris Day,50,1960-03-28,0.0,0.0
117,Sleepy Lagoon,The Platters,65,1960-02-29,0.0,0.0
118,Chattanooga Shoe Shine Boy,Freddy Cannon,34,1960-03-14,0.0,0.0
119,Mama,Connie Francis,8,1960-04-11,0.0,0.0
120,Road Runner,Bo Diddley,81,1960-03-14,0.0,0.0
121,O Dio Mio,Annette,10,1960-03-28,0.0,0.0
122,About This Thing Called Love,Fabian,31,1960-03-28,0.0,0.0
123,Teddy,Connie Francis,24,1960-04-25,0.0,0.0
124,Step By Step,The Crests,14,1960-05-09,0.0,0.0
125,Mountain Of Love,Harold Dorman,21,1960-05-23,0.0,0.0
126,Greenfields,The Brothers Four,2,1960-04-25,0.0,0.0
127,(Welcome) New Lovers,Pat Boone,22,1960-03-28,0.0,0.0
128,String Along,Fabian,39,1960-03-14,0.0,0.0
129,Starbright,Johnny Mathis,25,1960-04-11,0.0,0.0
130,The Old Payola Roll Blues (Side I),Stan Freberg,99,1960-02-29,0.0,0.0
131,This Magic Moment,The Drifters,16,1960-03-28,0.0,0.0
132,Puppy Love,Paul Anka,2,1960-04-11,0.0,0.0
133,Lonely Weekends,Charlie Rich,22,1960-05-23,0.0,0.0
134,Sink The Bismark,Johnny Horton,3,1960-04-25,0.0,0.0
135,Teenage Sonata,Sam Cooke,55,1960-03-28,0.0,0.0
136,Straight A's In Love,Johnny Cash And The Tennessee Two,84,1960-03-14,0.0,0.0
137,Big Iron,Marty Robbins,30,1960-04-25,0.0,0.0
138,The Old Lamplighter,The Browns Featuring Jim Edward Brown,7,1960-05-09,0.0,0.0
139,Ruby,Adam Wade,58,1960-04-25,0.0,0.0
140,Suddenly,Nickey DeMatteo,90,1960-03-14,0.0,0.0
141,Don't Deceive Me,Ruth Brown,62,1960-04-11,0.0,0.0
142,At My Front Door,Dee Clark,59,1960-04-11,0.0,0.0
143,I Love The Way You Love,Marv Johnson,9,1960-04-11,0.0,0.0
144,Don't Throw Away All Those Teardrops,Frankie Avalon,23,1960-04-11,0.0,0.0
145,Just One Time,Don Gibson,31,1960-04-25,0.0,0.0
146,Footsteps,Steve Lawrence,10,1960-04-11,0.0,0.0
147,Wake Me When It's Over,Andy Williams,54,1960-04-25,0.0,0.0
148,Night,Jackie Wilson,4,1960-05-09,0.0,0.0
149,It Could Happen To You,Dinah Washington,53,1960-04-25,0.0,0.0
150,Cradle Of Love,Johnny Preston,7,1960-05-23,0.0,0.0
151,Why I'm Walkin',Stonewall Jackson,83,1960-04-11,0.0,0.0
152,What Am I Living For,Conway Twitty,29,1960-05-09,0.0,0.0
153,House Of Bamboo,Earl Grant,88,1960-03-28,0.0,0.0
154,Someday (You'll Want Me to Want You),Della Reese,56,1960-04-25,0.0,0.0
155,Stairway To Heaven,Neil Sedaka,9,1960-05-09,0.0,0.0
156,Clementine,Bobby Darin,21,1960-04-25,0.0,0.0
157,Fame And Fortune,Elvis Presley With The Jordanaires,17,1960-05-09,0.0,0.0
158,Earth Angel,Johnny Tillotson,58,1960-05-09,0.0,0.0
159,Cherry Pie,Skip And Flip,13,1960-05-23,0.0,0.0
160,The Ties That Bind,Brook Benton,37,1960-05-09,0.0,0.0
161,Mr. Lucky,Henry Mancini,22,1960-04-25,0.0,0.0
162,Adam And Eve,Paul Anka,90,1960-04-11,0.0,0.0
163,Just A Closer Walk With Thee,Jimmie Rodgers,52,1960-04-25,0.0,0.0
164,Paper Roses,Anita Bryant,6,1960-06-06,0.0,0.0
165,Jenny Lou,Sonny James,67,1960-05-09,0.0,0.0
166,Pledging My Love,Johnny Tillotson,64,1960-05-09,0.0,0.0
167,Rockin' Red Wing,Sammy Masters,80,1960-04-11,0.0,0.0
168,Doggin' Around,Jackie Wilson,15,1960-05-09,0.0,0.0
169,Stuck On You,Elvis Presley With The Jordanaires,1,1960-04-25,0.0,0.0
170,Good Timin',Jimmy Jones,3,1960-05-23,0.0,0.0
171,Tell Me That You Love Me,Fats Domino,57,1960-05-23,0.0,0.0
172,Cathy's Clown,The Everly Brothers,1,1960-05-23,0.0,0.0
173,Barbara,The Temptations,31,1960-05-09,0.0,0.0
174,Got A Girl,The Four Preps,24,1960-05-23,0.0,0.0
175,When You Wish Upon A Star,Dion & The Belmonts,30,1960-05-23,0.0,0.0
176,Burning Bridges,Jack Scott,3,1960-06-20,0.0,0.0
177,My Empty Room,Little Anthony And The Imperials,86,1960-04-25,0.0,0.0
178,Young Emotions,Ricky Nelson,14,1960-06-06,0.0,0.0
179,(Doin' The) Lovers Leap,Webb Pierce,96,1960-04-25,0.0,0.0
180,Another Sleepless Night,Jimmy Clanton,22,1960-06-20,0.0,0.0
181,Nobody Loves Me Like You,The Flamingos,36,1960-06-06,0.0,0.0
182,Dutchman's Gold,Walter Brennan With Billy Vaughn and his Orchestra,30,1960-06-06,0.0,0.0
183,Hither And Thither And Yon,Brook Benton,60,1960-05-09,0.0,0.0
184,Is It Wrong (For Loving You),Webb Pierce,69,1960-05-09,0.0,0.0
185,Swingin' School,Bobby Rydell,5,1960-06-20,0.0,0.0
186,Mack The Knife,Ella Fitzgerald,28,1960-07-04,0.0,0.0
187,Besame Mucho (Part I),The Coasters,76,1960-05-09,0.0,0.0
188,Pennies From Heaven,The Skyliners,24,1960-07-18,0.0,0.0
189,A Cottage For Sale,Little Willie John,63,1960-06-06,0.0,0.0
190,Hot Rod Lincoln,Charlie Ryan and the Timberline Riders,36,1960-09-12,0.0,0.0
191,Happy-Go-Lucky-Me,Paul Evans,14,1960-07-04,0.0,0.0
192,Everybody's Somebody's Fool,Connie Francis,1,1960-07-04,0.0,0.0
193,"Oh, Little One",Jack Scott,34,1960-06-06,0.0,0.0
194,I'll Be Seeing You,The Five Satins,87,1960-05-23,0.0,0.0
195,Before I Grow Too Old,Fats Domino,93,1960-05-09,0.0,0.0
196,Wheel Of Fortune,LaVern Baker,87,1960-05-09,0.0,0.0
197,All I Could Do Was Cry,Etta James,39,1960-06-06,0.0,0.0
198,Ding-A-Ling,Bobby Rydell,18,1960-06-06,0.0,0.0
199,Wonderful World,Sam Cooke,12,1960-07-04,0.0,0.0
200,He'll Have To Stay,Jeanne Black,4,1960-06-06,0.0,0.0
201,Finger Poppin' Time,Hank Ballard And The Midnighters,7,1960-08-15,0.0,0.0
202,Ebb Tide,The Platters Featuring Tony Williams,59,1960-06-06,0.0,0.0
203,A Rockin' Good Way (To Mess Around And Fall In Love),Dinah Washington & Brook Benton,10,1960-07-04,0.0,0.0
204,The Urge,Freddy Cannon,60,1960-05-23,0.0,0.0
205,Right By My Side,Ricky Nelson,59,1960-05-23,0.0,0.0
206,Always It's You,The Everly Brothers,56,1960-05-23,0.0,0.0
207,Walking The Floor Over You,Pat Boone,45,1960-06-20,0.0,0.0
208,My Home Town,Paul Anka,8,1960-07-04,0.0,0.0
209,Won't You Come Home Bill Bailey,Bobby Darin,19,1960-07-04,0.0,0.0
210,I Really Don't Want To Know,Tommy Edwards,18,1960-07-04,0.0,0.0
211,Clap Your Hands,The Beau-Marks,49,1960-07-04,0.0,0.0
212,Jealous Of You (Tango Della Gelosia),Connie Francis,19,1960-06-20,0.0,0.0
213,Because They're Young,Duane Eddy And The Rebels,4,1960-07-04,0.0,0.0
214,Lonely Winds,The Drifters,54,1960-07-04,0.0,0.0
215,Big Boy Pete,The Olympics,50,1960-09-12,0.0,0.0
216,"Please Help Me, I'm Falling",Hank Locklin,8,1960-08-01,0.0,0.0
217,Mule Skinner Blues,The Fendermen,7,1960-07-18,0.0,0.0
218,Runaround,The Fleetwoods,25,1960-07-04,0.0,0.0
219,Found Love,Jimmy Reed,99,1960-05-23,0.0,0.0
220,I'm Sorry,Brenda Lee,1,1960-07-18,0.0,0.0
221,Heartbreak (It's Hurtin' Me),Little Willie John,42,1960-08-01,0.0,0.0
222,When Will I Be Loved,The Everly Brothers,8,1960-07-18,0.0,0.0
223,"River, Stay 'Way From My Door",Frank Sinatra,85,1960-06-06,0.0,0.0
224,Alley-Oop,Hollywood Argyles,2,1960-07-04,0.0,0.0
225,Banjo Boy,Jan And Kjeld,58,1960-07-04,0.0,0.0
226,Something Happened,Paul Anka,41,1960-07-04,0.0,0.0
227,Only The Lonely (Know How I Feel),Roy Orbison,4,1960-07-18,0.0,0.0
228,That's All You Gotta Do,Brenda Lee,6,1960-07-04,0.0,0.0
229,Hey Little One,Dorsey Burnette,48,1960-08-01,0.0,0.0
230,Image Of A Girl,Safaris with The Phantom's Band,6,1960-08-01,0.0,0.0
231,Tell Laura I Love Her,Ray Peterson,7,1960-08-01,0.0,0.0
232,Walking To New Orleans,Fats Domino,6,1960-08-15,0.0,0.0
233,I'm Gettin' Better,Jim Reeves,42,1960-07-04,0.0,0.0
234,Feel So Fine,Johnny Preston,15,1960-08-01,0.0,0.0
235,This Bitter Earth,Dinah Washington,24,1960-08-15,0.0,0.0
236,Is A Blue Bird Blue,Conway Twitty,35,1960-07-18,0.0,0.0
237,Is There Any Chance,Marty Robbins,33,1960-08-01,0.0,0.0
238,Mission Bell,Donnie Brooks,8,1960-08-29,0.0,0.0
239,Bad Man Blunder,The Kingston Trio,40,1960-08-15,0.0,0.0
240,There's Something On Your Mind (Part 2),Bobby Marchan,31,1960-07-18,0.0,0.0
241,Look For A Star,Garry Miles,16,1960-08-01,0.0,0.0
242,"Wake Me, Shake Me",The Coasters,56,1960-08-01,0.0,0.0
243,Look For A Star,Deane Hawley,30,1960-07-18,0.0,0.0
244,Where Are You,Frankie Avalon,32,1960-08-01,0.0,0.0
245,Trouble In Paradise,The Crests,20,1960-08-01,0.0,0.0
246,Josephine,Bill Black's Combo,18,1960-07-18,0.0,0.0
247,Johnny Freedom,Johnny Horton,69,1960-07-18,0.0,0.0
248,Maria,Johnny Mathis,84,1960-07-04,0.0,0.0
249,You Were Born To Be Loved,Billy Bland,94,1960-07-04,0.0,0.0
250,Don't Come Knockin',Fats Domino,21,1960-08-01,0.0,0.0
251,Second Honeymoon,Johnny Cash,85,1960-07-18,0.0,0.0
252,Too Young To Go Steady,Connie Stevens,75,1960-08-01,0.0,0.0
253,Do You Mind?,Andy Williams,71,1960-07-18,0.0,0.0
254,One Boy,Joanie Sommers,54,1960-08-15,0.0,0.0
255,My Tani,The Brothers Four,60,1960-08-01,0.0,0.0
256,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,2,1960-08-01,0.0,0.0
257,Be Bop A-Lula,The Everly Brothers,74,1960-07-18,0.0,0.0
258,(You Were Made For) All My Love,Jackie Wilson,14,1960-08-15,0.0,0.0
259,I'll Be There,Bobby Darin,84,1960-07-18,0.0,0.0
260,In My Little Corner Of The World,Anita Bryant,10,1960-08-29,0.0,0.0
261,Volare,Bobby Rydell,5,1960-08-29,0.0,0.0
262,Down The Street To 301,Johnny Cash And The Tennessee Two,86,1960-07-18,0.0,0.0
263,Ta Ta,Clyde McPhatter,23,1960-09-12,0.0,0.0
264,"A Woman, A Lover, A Friend",Jackie Wilson,19,1960-08-15,0.0,0.0
265,In The Still Of The Night,Dion & The Belmonts,38,1960-08-15,0.0,0.0
266,Do You Mind?,Anthony Newley,91,1960-08-15,0.0,0.0
267,Mio Amore,The Flamingos,77,1960-08-15,0.0,0.0
268,It's Now Or Never,Elvis Presley With The Jordanaires,1,1960-08-15,0.0,0.0
269,Devil Or Angel,Bobby Vee,6,1960-10-24,0.0,0.0
270,A Mess Of Blues,Elvis Presley With The Jordanaires,32,1960-08-15,0.0,0.0
271,The Twist,Chubby Checker,1,1962-01-20,0.0,0.0
272,Lisa,Jeanne Black,49,1960-09-12,0.0,0.0
273,Hello Young Lovers,Paul Anka,23,1960-08-29,0.0,0.0
274,My Shoes Keep Walking Back To You,Guy Mitchell,45,1960-09-12,0.0,0.0
275,Theme From The Apartment,Ferrante & Teicher,10,1960-10-24,0.0,0.0
276,"Far, Far Away",Don Gibson,76,1960-08-15,0.0,0.0
277,Cool Water,Jack Scott,87,1960-08-01,0.0,0.0
278,We Go Together,Jan & Dean,53,1960-09-12,0.0,0.0
279,It Only Happened Yesterday,Jack Scott,39,1960-09-12,0.0,0.0
280,Happy Shades Of Blue,Freddie Cannon,86,1960-08-15,0.0,0.0
281,Dreamin',Johnny Burnette,11,1960-08-29,0.0,0.0
282,Red Sails In The Sunset,The Platters Featuring Tony Williams,44,1960-08-15,0.0,0.0
283,I Love You In The Same Old Way,Paul Anka,40,1960-09-12,0.0,0.0
284,Kiddio,Brook Benton,8,1960-09-12,0.0,0.0
285,Hot Rod Lincoln,Johnny Bond,29,1960-08-29,0.0,0.0
286,Chain Gang,Sam Cooke,2,1960-10-10,0.0,0.0
287,You're Looking Good,Dee Clark,43,1960-09-26,0.0,0.0
288,(I Do The) Shimmy Shimmy,Bobby Freeman,39,1960-10-10,0.0,0.0
289,No,Dodie Stevens,73,1960-09-12,0.0,0.0
290,How High The Moon (Part 1),Ella Fitzgerald,76,1960-09-12,0.0,0.0
291,Honest I Do,The Innocents,28,1960-09-26,0.0,0.0
292,A Kookie Little Paradise,Jo Ann Campbell,70,1960-09-12,0.0,0.0
293,Little Bitty Pretty One,Frankie Lymon,58,1960-08-15,0.0,0.0
294,My Heart Has A Mind Of Its Own,Connie Francis,1,1960-09-26,0.0,0.0
295,Yogi,The Ivy Three,9,1960-09-12,0.0,0.0
296,You Mean Everything To Me,Neil Sedaka,17,1960-10-10,0.0,0.0
297,Anymore,Teresa Brewer,31,1960-09-26,0.0,0.0
298,Candy Sweet,Pat Boone,72,1960-08-29,0.0,0.0
299,This Old Heart,James Brown And The Famous Flames,79,1960-09-12,0.0,0.0
300,A Million To One,Jimmy Charles and The Revelletts,5,1960-09-26,0.0,0.0
301,Nice 'N' Easy,Frank Sinatra,60,1960-09-12,0.0,0.0
302,A Fool In Love,Ike & Tina Turner,30,1960-10-10,0.0,0.0
303,My Love For You,Johnny Mathis,47,1960-10-10,0.0,0.0
304,The Old Oaken Bucket,Tommy Sands,73,1960-08-29,0.0,0.0
305,Let's Have A Party,Wanda Jackson,37,1960-10-10,0.0,0.0
306,Malagueña,Connie Francis,44,1960-10-10,0.0,0.0
307,Shortnin' Bread,Paul Chaplain and his Emeralds,82,1960-08-29,0.0,0.0
308,Mr. Custer,Larry Verne,1,1960-10-10,0.0,0.0
309,The Same One,Brook Benton,17,1960-09-26,0.0,0.0
310,(I Can't Help You) I'm Falling Too,Skeeter Davis,41,1960-09-12,0.0,0.0
311,I Want To Be Wanted,Brenda Lee,1,1960-10-24,0.0,0.0
312,Let's Think About Living,Bob Luman,7,1960-10-24,0.0,0.0
313,Sleep,Little Willie John,14,1960-11-07,0.0,0.0
314,I'm Not Afraid,Ricky Nelson,27,1960-09-26,0.0,0.0
315,Run Samson Run,Neil Sedaka,32,1960-10-10,0.0,0.0
316,(You've Got To) Move Two Mountains,Marv Johnson,24,1960-10-24,0.0,0.0
317,"Yes Sir, That's My Baby",Ricky Nelson,34,1960-09-26,0.0,0.0
318,Don't Be Cruel,Bill Black's Combo,11,1960-11-07,0.0,0.0
319,Tonights The Night,The Shirelles,39,1960-10-24,0.0,0.0
320,Five Brothers,Marty Robbins,74,1960-09-26,0.0,0.0
321,Nobody Knows You When You're Down And Out,Nina Simone,93,1960-09-12,0.0,0.0
322,Put Your Arms Around Me Honey,Fats Domino,59,1960-09-26,0.0,0.0
323,So Sad (To Watch Good Love Go Bad),The Everly Brothers,7,1960-10-10,0.0,0.0
324,Let The Good Times Roll,Shirley & Lee,48,1960-09-12,0.0,0.0
325,Lucille,The Everly Brothers,21,1960-10-10,0.0,0.0
326,Just Call Me (And I'll Understand),Lloyd Price and His Orchestra,79,1960-09-26,0.0,0.0
327,Three Nights A Week,Fats Domino,15,1960-10-10,0.0,0.0
328,Shimmy Like Kate,The Olympics,42,1960-10-24,0.0,0.0
329,Save The Last Dance For Me,The Drifters,1,1960-11-07,0.0,0.0
330,Somebody To Love,Bobby Darin,45,1960-10-24,0.0,0.0
331,Togetherness,Frankie Avalon,27,1960-11-07,0.0,0.0
332,You Talk Too Much,Joe Jones,5,1960-11-07,0.0,0.0
333,North To Alaska,Johnny Horton,4,1960-12-19,0.0,0.0
334,Summer's Gone,Paul Anka,15,1960-11-07,0.0,0.0
335,Georgia On My Mind,Ray Charles,4,1960-11-07,0.0,0.0
336,Over The Mountain; Across The Sea,Johnnie & Joe,92,1960-09-26,0.0,0.0
337,Artificial Flowers,Bobby Darin,23,1960-10-24,0.0,0.0
338,Blue Angel,Roy Orbison,9,1960-11-07,0.0,0.0
339,My Dearest Darling,Etta James,34,1960-12-05,0.0,0.0
340,Shoppin' For Clothes,The Coasters,83,1960-10-10,0.0,0.0
341,Just A Little,Brenda Lee,43,1960-10-24,0.0,0.0
342,Alone At Last,Jackie Wilson,12,1960-12-05,0.0,0.0
343,The Hucklebuck,Chubby Checker,14,1960-11-21,0.0,0.0
344,Don't Let Love Pass Me By,Frankie Avalon,93,1960-10-10,0.0,0.0
345,Hush-Hush,Jimmy Reed,86,1960-10-10,0.0,0.0
346,Everglades,The Kingston Trio,60,1960-10-24,0.0,0.0
347,Whole Lotta Shakin' Goin' On,Chubby Checker,42,1960-11-07,0.0,0.0
348,Harmony,Billy Bland,94,1960-10-10,0.0,0.0
349,Serenata,Sarah Vaughan,82,1960-10-24,0.0,0.0
350,Love Walked In,Dinah Washington,38,1960-11-07,0.0,0.0
351,To Each His Own,The Platters,21,1960-11-07,0.0,0.0
352,Poetry In Motion,Johnny Tillotson,3,1960-11-07,0.0,0.0
353,Humdinger,Freddy Cannon,59,1960-10-24,0.0,0.0
354,Stay,Maurice Williams & The Zodiacs,1,1960-11-21,0.0,0.0
355,One Of The Lucky Ones,Anita Bryant,67,1960-11-07,0.0,0.0
356,Sailor (Your Home Is The Sea),Lolita,5,1960-12-19,0.0,0.0
357,My Girl Josephine,Fats Domino,14,1960-12-05,0.0,0.0
358,Ballad Of The Alamo,Marty Robbins,34,1960-12-19,0.0,0.0
359,I'll Save The Last Dance For You,Damita Jo,22,1960-12-05,0.0,0.0
360,Wait For Me,The Playmates,37,1960-11-21,0.0,0.0
361,Am I Losing You,Jim Reeves,37,1960-12-05,0.0,0.0
362,Am I The Man,Jackie Wilson,32,1960-12-05,0.0,0.0
363,Patsy,Jack Scott,71,1960-10-24,0.0,0.0
364,Lonely Teenager,Dion,12,1960-12-19,0.0,0.0
365,A Thousand Stars,Kathy Young With The Innocents,5,1960-12-05,0.0,0.0
366,Like Strangers,The Everly Brothers,23,1960-12-05,0.0,0.0
367,Sway,Bobby Rydell,14,1960-12-19,0.0,0.0
368,You're Sixteen,Johnny Burnette,8,1961-01-02,0.0,0.0
369,Natural Born Lover,Fats Domino,38,1960-12-05,0.0,0.0
370,A Thousand Miles Away,The Heartbeats,96,1960-11-07,0.0,0.0
371,Ol' Mac Donald,Frank Sinatra,31,1960-12-05,0.0,0.0
372,Kissin' And Twistin',Fabian,91,1960-11-07,0.0,0.0
373,The Green Leaves Of Summer,The Brothers Four,65,1960-12-05,0.0,0.0
374,Psycho,Bobby Hendricks,88,1960-11-07,0.0,0.0
375,Senza Mamma (With No One),Connie Francis,87,1960-11-07,0.0,0.0
376,Many Tears Ago,Connie Francis,7,1961-01-02,0.0,0.0
377,Don't Go To Strangers,Etta Jones,55,1960-12-19,0.0,0.0
378,He Will Break Your Heart,Jerry Butler,7,1960-12-05,0.0,0.0
