,shit,bitch,damn,dick,fuck,ass,hell
1980,11,7,57,5,12,8,126
1990,256,163,232,80,243,214,238
2000,406,297,333,92,429,308,279
2010,887,859,494,238,1005,444,383
2020,661,602,312,157,733,270,245
