,title,artist,rank,total_swear,percent_swear
1563,Born To Be Yours,Kygo & Imagine Dragons,94,0,0.0
1564,Born To Fly,Sara Evans,34,0,0.0
1565,Born To Roll,Masta Ace Incorporated,24,2,0.005681818181818182
1566,Born With A Beer In My Hand,Morgan Wallen,67,4,0.024844720496894408
1567,Borrowed Love,Bingo Boys,77,0,0.0
1568,Borrowed Time,Styx,64,3,0.024193548387096774
1569,Boss Bitch,Doja Cat,100,34,0.1349206349206349
1570,Bossy,Kelis Featuring Too $hort,16,9,0.024324324324324326
1571,Boston,Augustana,34,0,0.0
1572,Botella Tras Botella,Gera MX + Christian Nodal,60,0,0.0
1573,Both,Gucci Mane Featuring Drake,41,7,0.03910614525139665
1574,Both Of Us,B.o.B Featuring Taylor Swift,18,0,0.0
1575,Both Sides Of The Story,Phil Collins,25,0,0.0
1576,Bother,Stone Sour,56,1,0.01098901098901099
1577,Bottom,Gunna,62,6,0.023529411764705882
1578,Bottoms Up,Brantley Gilbert,22,2,0.008064516129032258
1579,Bottoms Up,Trey Songz Featuring Nicki Minaj,6,7,0.016317016317016316
1580,Boulevard,Jackson Browne,19,0,0.0
1581,Boulevard Of Broken Dreams,Green Day,2,1,0.006993006993006993
1582,Bounce,Sarah Connor,54,2,0.006211180124223602
1583,Bounce Back,Alisha,54,0,0.0
1584,Bounce Back,Big Sean,9,16,0.04050632911392405
1585,Bounce It,Juicy J Featuring Wale & Trey Songz,74,10,0.02557544757033248
1586,Bounce With Me,Lil Bow Wow Featuring Xscape,20,0,0.0
1587,Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,39,0,0.0
1588,Bouncing Off The Ceiling (Upside Down),A*Teens,93,0,0.0
1589,Bound 2,Kanye West,12,11,0.03741496598639456
1590,Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg,54,17,0.04899135446685879
1591,Bout My Business,YoungBoy Never Broke Again Featuring Sherhonda Gaulden,90,6,0.02054794520547945
1592,Bow Chicka Wow Wow,Mike Posner Featuring Lil Wayne,31,6,0.024291497975708502
1593,Bow Down,Westside Connection,21,13,0.03672316384180791
1594,Bow Wow (That's My Name),Lil Bow Wow,21,2,0.005089058524173028
1595,Bow Wow Wow,Funkdoobiest,94,5,0.023148148148148147
1596,Boy,Lee Brice,94,0,0.0
1597,Boy Blue,Cyndi Lauper,71,0,0.0
1598,Boy From New York City,The Manhattan Transfer,7,0,0.0
1599,Boy In The Box,Corey Hart,27,0,0.0
1600,Boy With Luv,BTS Featuring Halsey,8,0,0.0
1601,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,4,4,0.021164021164021163
1602,"Boy, I've Been Told",SaFire,48,0,0.0
1603,Boyfriend,Ariana Grande & Social House,8,3,0.012048192771084338
1604,Boyfriend,Ashlee Simpson,24,0,0.0
1605,Boyfriend,Big Time Rush,72,0,0.0
1606,Boyfriend,Dove Cameron,17,4,0.029850746268656716
1607,Boyfriend,Justin Bieber,4,1,0.004464285714285714
1608,Boyfriend,New Hollow,96,0,0.0
1609,Boyfriend,Selena Gomez,59,0,0.0
1610,Boyfriend #2,Pleasure P,42,0,0.0
1611,Boyfriend/Girlfriend,C-Side Featuring Keyshia Cole,72,1,0.003424657534246575
1612,Boyfriends,Harry Styles,30,0,0.0
1613,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12,4,0.011267605633802818
1614,Boys Do Fall In Love,Robin Gibb,37,0,0.0
1615,Boys Night Out,Timothy B. Schmit,25,0,0.0
1616,Boys Of Faith,Zach Bryan Featuring Bon Iver,26,4,0.041237113402061855
1617,Boyz Don't Cry,Rod Wave,46,1,0.006756756756756757
1618,Boyz-N-The Hood,Eazy-E,50,13,0.035422343324250684
1619,Braid My Hair,Mario,74,0,0.0
1620,Brainstorming,M.C. Brains,75,1,0.006134969325153374
1621,Brainwashed,Tom MacDonald,89,0,0.0
1622,Brambleton,Pusha T,100,15,0.055970149253731345
1623,Brand New,Ben Rector,82,0,0.0
1624,Brand New Girlfriend,Steve Holy,43,0,0.0
1625,Brand New Lover,Dead Or Alive,15,0,0.0
1626,Brass In Pocket (I'm Special),Pretenders,14,0,0.0
1627,Brass Monkey,Beastie Boys,48,0,0.0
1628,Brave,Sara Bareilles,26,0,0.0
1629,Bread & Butter,Gunna,48,15,0.04120879120879121
1630,Break,Three Days Grace,76,0,0.0
1631,Break Da Law,21 Savage,70,15,0.03759398496240601
1632,Break Down Here,Julie Roberts,83,0,0.0
1633,Break Every Rule,Tina Turner,74,0,0.0
1634,Break Free,Ariana Grande Featuring Zedd,7,1,0.007462686567164179
1635,Break It Down Again,Tears For Fears,26,0,0.0
1636,Break It Off,Rihanna & Sean Paul,9,0,0.0
1637,Break It To Me Gently,Juice Newton,11,0,0.0
1638,Break It Up,Foreigner,26,0,0.0
1639,Break My Bank,New Boyz Featuring Iyaz,69,6,0.02830188679245283
1640,Break My Heart,Dua Lipa,13,6,0.02727272727272727
1641,Break My Heart,Rod Wave,76,5,0.019305019305019305
1642,Break My Soul,Beyonce,1,2,0.00437636761487965
1643,Break My Stride,Matthew Wilder,5,0,0.0
1644,Break On Me.,Keith Urban,62,0,0.0
1645,Break Or Make Me,YoungBoy Never Broke Again,62,9,0.03571428571428571
1646,Break The Ice,Britney Spears,43,0,0.0
1647,Break The Rules,Charli XCX,91,1,0.005494505494505495
1648,Break Up,Mario Featuring Gucci Mane & Sean Garrett,15,0,0.0
1649,Break Up In A Small Town,Sam Hunt,32,0,0.0
1650,Break Up In The End,Cole Swindell,49,0,0.0
1651,Break Up To Make Up,Cynthia,76,0,0.0
1652,Break Up With Him,Old Dominion,44,0,0.0
1653,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,8,5,0.023474178403755867
1654,Break Ups 2 Make Ups,Method Man Featuring D'Angelo,98,17,0.0397196261682243
1655,Break Ya Neck,Busta Rhymes,26,16,0.035398230088495575
1656,Break Your Heart,Taio Cruz Featuring Ludacris,3,0,0.0
1657,Breakadawn,De La Soul,77,0,0.0
1658,Breakaway,Big Pig,61,0,0.0
1659,Breakaway,Kelly Clarkson,8,0,0.0
1660,Breakdance,Irene Cara,8,0,0.0
1661,Breakdown,Fu-Schnickens,67,3,0.007125890736342043
1662,Breakdown,Seduction,82,0,0.0
1663,Breakdown Dead Ahead,Boz Scaggs,15,0,0.0
1664,Breakeven,The Script,13,0,0.0
1665,Breakfast At Tiffany's,Deep Blue Something,5,0,0.0
1666,Breakfast In America,Supertramp,62,0,0.0
1667,Breakin' Away,Al Jarreau,44,0,0.0
1668,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,7,0,0.0
1669,Breaking All The Rules,She Moves,32,0,0.0
1670,Breaking Away,Balance,22,0,0.0
1671,Breaking Me,Topic & A7S,55,0,0.0
1672,Breaking The Habit,Linkin Park,20,0,0.0
1673,Breaking Up Was Easy In The 90's,Sam Hunt,32,0,0.0
1674,Breaking Us In Two,Joe Jackson,18,0,0.0
1675,Breakout,Miley Cyrus,56,0,0.0
1676,Breakout,Swing Out Sister,6,0,0.0
1677,Breath,Breaking Benjamin,87,0,0.0
1678,Breathe,Fabolous,10,7,0.014644351464435146
1679,Breathe,Faith Hill,2,0,0.0
1680,Breathe,Michelle Branch,36,0,0.0
1681,Breathe,Telepopmusik,78,0,0.0
1682,Breathe (2 AM),Anna Nalick,47,0,0.0
1683,Breathe Again,Toni Braxton,3,0,0.0
1684,Breathe And Stop,Q-Tip,71,2,0.005291005291005291
