,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
0,0,69,Believe Me,Royal Teens,42,1960-01-04,,,,"Each night as I go wandering
Down the street of tears
I think about the love we shared
Throughout our teenage years

Believe me, ooooooh, wah oooooooooh
Wah oooooooooh, believe me

Just because you said goodbye
Do you think that I will die
Just because you broke my heart
Now you thinking you're so smart

All the kids in town will know
They will know you hurt me so
Did you have to tell them all
That I still love you

I love you so
Can't let you go
(Believe me, believe me)
If you return
Love's flame will burn
(Believe me, believe me)

Just because you said goodbye
Do you think that I will die
Just because you broke my heart
Now you thinking you're so smart
All the kids in town will know
They will know you hurt me so
Did you have to tell them all
That I still love you-ooooooooooou
Oooooooooh wah ooooooooooh

Oooooooooh wah ooooooooooh
Oooooooooh wah ooooooooooh
Oooooooooh wah ooooooooooh"
1,1,66,The Happy Reindeer,"Dancer, Prancer And Nervous",45,1960-01-04,,,,
2,2,65,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,46,1960-01-04,,,,
3,3,64,(New In) The Ways Of Love,Tommy Edwards,47,1960-01-04,,,,
4,4,55,One Mint Julep,Chet Atkins,97,1960-01-04,,,,"[Instrumental]

Mint Julep
Mint Julep
Mint Julep
Mint Julep
Mint Julep
Mint Julep"
5,5,53,Little Coco Palm,Jerry Wallace,95,1960-01-04,,,,
6,6,52,Do-Re-Mi,Mitch Miller,94,1960-01-04,,,,"[Intro]
Do (Do) re (Re) mi (Mi)
Fa (Fa) so (So) la (La) ti (Ti) do (Do)

Do, re, mi, fa, so, la, ti, do!

[Chorus]
(Do!) doe, a deer, a female deer
(Re!) ray, a drop of golden sun
(Mi!) me, a name I call myself
(Fa!) far, a long, long way to run
(So!) sew, a needle-pulling thread
(La!) la, a note to follow so
(Ti!) tea, a drink with jam and bread
That will bring us back to do oh oh oh

[Chorus]
Do! (A deer, a female deer)
Re! (A drop of golden sun)
Mi! (A name I call myself)
Fa! (A long, long way to run)
So! (A needle-pulling thread)
La! (A note to follow so)
Ti! (A drink with jam and bread)
That will bring us back to do
[Chorus]
A deer, a female deer
Ray, a drop of golden sun
Me, a name I call myself
Far, a long, long way to run
Sew, a needle-pulling thread
La, a note to follow so
Tea, a drink with jam and bread
That will bring us back to do

[Refrain]
Do, re, mi, fa, so, la, ti, do!
Do, ti, la, so, fa, mi, re, do!
Do, re, mi, fa, so, la, ti, do!

[Outro]
So, do!"
7,7,73,In The Still Of The Nite,The Five Satins,93,1960-01-04,,,,
8,8,75,Marina,Rocco Granata and the International Quintet,36,1960-01-04,,,,
9,9,99,Way Down Yonder In New Orleans,Freddie Cannon,5,1960-01-04,,,,"[Verse 1]
Well, way down yonder in New Orleans
In the land of the dreamy scenes
Ah, there's a Garden of Eden
Ah, you know what I mean

[Verse 2]
Yeah, Creole babies with flashin' eyes
Softly whisper with tender sighs

[Bridge]
And then you stop
Oh, won't you give your lady fair a little smile?
And then you stop
You bet your life you'll linger there a little while

[Verse 3]
Yeah, there is Heaven right here on earth
Ah, with those beautiful queens
Yeah, way down yonder in New Orleans, woah

[Instrumental Break]

[Verse 1]
Way down yonder in New Orleans, woah
In the land of the dreamy scenes
Ah, there's a Garden of Eden
Ah, you know what I mean
[Verse 2]
Well, Creole babies with flashin' eyes
Softly whisper with tender sighs

[Bridge]
And then you stop
Oh, won't you give your lady fair a little smile?
And then you stop
You bet your life you'll linger there a little while

[Verse 3]
Yeah, there is Heaven right here on earth
Ah, with those beautiful queens
Well, way down yonder in New Orleans, yeah, woah"
10,10,91,Uh! Oh! Part 2,The Nutty Squirrels,14,1960-01-04,,,,
11,11,83,Smokie - Part 2,Bill Black's Combo,18,1960-01-04,,,,
12,12,80,In The Mood,Ernie Fields & Orch.,21,1960-01-04,,,,
13,13,78,First Name Initial,Annette With The Afterbeats,24,1960-01-04,,,,
14,14,50,Darling Lorraine,The Knockouts,92,1960-01-04,,,,
15,15,18,Tear Drop,Santo & Johnny,28,1960-01-04,,,,
16,16,14,Just Come Home,Hugo & Luigi,37,1960-01-04,,,,
17,17,23,The Sound Of Music,Patti Page,90,1960-01-04,,,,"The hills are alive
With the sound of music
With songs they have sung
For a thousand years

The hills fill my heart
With the sound of music
My heart wants to sing ev'ry song it hears

My heart wants to beat like the wings of the birds
That rise from the lake to the trees
My heart wants to sigh like a chime that flies
From a church on a breeze

To laugh like a brook when it trips and falls
Over stones on its way
To sing through the night
Like a lark who is learning to prey

I go to the hills
When my heart is lonely
I know I will hear
What I've heard before

My heart will be blessed
With the sound of music
And I'll sing once more"
18,18,10,Skokiaan (South African Song),Bill Haley And His Comets,78,1960-01-04,,,,
19,19,5,I'm Movin' On,Ray Charles and his Orchestra,83,1960-01-04,,,,
20,20,4,Tracy's Theme,Spencer Ross,84,1960-01-04,,,,
21,21,11,I Don't Know What It Is,The Bluenotes,91,1960-01-04,,,,
22,22,41,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,60,1960-01-04,,,,
24,24,44,Reveille Rock,Johnny And The Hurricanes,57,1960-01-04,,,,"All right you guys rise and shine

Wake up"
25,25,43,Uh! Oh! Part 1,The Nutty Squirrels,58,1960-01-04,,,,
26,26,40,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,61,1960-01-04,,,,
27,27,39,Down By The Station,The Four Preps,62,1960-01-04,,,,
28,28,37,Smokie-Part 2,Bill Doggett,99,1960-01-04,,,,
29,29,33,A Year Ago Tonight,The Crests,63,1960-01-04,,,,
30,30,36,Baciare Baciare (Kissing Kissing),Dorothy Collins,72,1960-01-04,,,,
34,34,158,T.L.C. Tender Love And Care,Jimmie Rodgers,60,1960-01-18,,,,
36,36,162,Waltzing Matilda,Jimmie Rodgers,75,1960-01-18,,,,
39,39,198,The Happy Muleteer,Ivo Robic,99,1960-01-18,,,,
40,40,196,Time After Time,Frankie Ford,97,1960-01-18,,,,
41,41,192,Teenage Hayride,Tender Slim,93,1960-01-18,,,,
42,42,190,Cry Me A River,Janice Harper,91,1960-01-18,,,,
44,44,186,Amapola,Jacky Noguez And His Orchestra,88,1960-01-18,,,,
46,46,180,Let The Good Times Roll,Ray Charles,82,1960-01-18,,,,"[Verse 1]
Hey, everybody
Let's have some fun
You only live but once
And when you're dead you're done

[Chorus]
So let the good times roll
I said let the good times roll
I don't care if you're young or old
You ought to get together and let the good times roll

[Verse 2]
Don't sit there mumbling
Talking trash
If you want to have a ball
You got to go out and spend some cash

[Chorus]
And let the good times roll now
I'm talking about the good times
Well, it makes no difference whether you're young or old
All you got to do is get together and let the good times roll

[Instrumental Break]
[Bridge]
Hey y'all, tell everybody, Ray Charles' in town
I got a dollar and a quarter and I'm just ringing the clock
But don't let no female play me cheap
I got fifty cents more than I'm gonna keep

[Chorus]
So let the good times roll now
I tell y'all, I'm gonna let the good times roll now
Well it don't make no difference if you're young or old
All you got to do is get together and let the good times roll

[Outro]
Hey, no matter whether rainy weather
If you want to have a ball, you got to get yourself together
Oh, get yourself under control, woah, and let the good times roll
Yeah"
49,49,148,Since I Made You Cry,The Rivieras,100,1960-01-18,,,,
58,58,141,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,43,1960-01-18,,,,
67,67,258,The Whiffenpoof Song,Bob Crewe,100,1960-02-01,,,,
79,79,218,Time And The River,Nat King Cole,83,1960-02-01,,,,"[Verse 1]
Time and the river
Will bring my love to me
If I must, I'll wait forever
By the river that took her to the sea

[Verse 2]
Here by the river
We loved, we laughed, we cried
But with time, my love, my darling
Left my arms and was gone with the tide

[Bridge]
How long I've been lonely
Star of love, shine bright
I need her, oh, lead her
To my arms tonight

[Verse 3]
Time and the river
How swiftly they go by
But my heart will beat for no other
Till time stands still and the river runs dry

[Outro]
Time and the river
How swiftly they go by
But my heart will beat for no other
Till time stands still and the river runs dry"
80,80,216,That Old Feeling,Kitty Kallen,85,1960-02-01,,,,
81,81,213,Secret Of Love,Elton Anderson With Sid Lawrence Combo,88,1960-02-01,,,,
85,85,205,Mediterranean Moon,The Rays,99,1960-02-01,,,,
87,87,200,I'll Take Care Of You,Bobby Bland,94,1960-02-01,,,,
89,89,211,Peace Of Mind,Teresa Brewer,96,1960-02-01,,,,
91,91,223,I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams,90,1960-02-01,,,,
96,96,233,Lady Luck,Lloyd Price and His Orchestra,71,1960-02-01,,,,
97,97,229,On The Beach,Frank Chacksfield And His Orch.,74,1960-02-01,,,,
98,98,365,Beatnik Fly,Johnny And The Hurricanes,69,1960-02-15,,,,"Pd... ®1960; Us Ht#25 ...Pd
Pd... {♫ Instrum ♫} ...Pd
...Pd..."
101,101,371,I Was Such A Fool (To Fall In Love With You),The Flamingos,71,1960-02-15,,,,
110,110,377,You're My Baby,Sarah Vaughan,87,1960-02-15,,,,
114,114,392,What's Happening,Wade Flemons,97,1960-02-15,,,,
116,116,385,(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,84,1960-02-15,,,,
117,117,382,Mumblin' Mosie,The Johnny Otis Show,80,1960-02-15,,,,
129,129,468,Angela Jones,Johnny Ferguson,68,1960-02-29,,,,
130,130,471,Alvin's Orchestra,David Seville And The Chipmunks,71,1960-02-29,,,,
131,131,472,Anyway The Wind Blows,Doris Day,72,1960-02-29,,,,"Can't tell you the truth
'Least I don't lie about that
Kind of comfort in you
Comes when you lie right back

Safe from such a strange point of view
To hear your own words on you

How much do you go to be gone?
You are any way the wind blows
Any way the wind blows in

Don't wanna come down too low
Any way the wind blows
Any way the wind blows in
Any way the wind blows in

Similar creatures we are
Chasing the pipe dream down
Love elusive so far
Keeps us divided now

Go, go on and write me love songs
So I have something to sing when your gone

How much do you go to be gone?
You are any way the wind blows
Any way the wind blows in
Don't wanna come down too low
Any way the wind blows
Any way the wind blows in

Don't wanna come down
Do you know the way
To be in one place but sway?
Anyway the wind's blowin'

You are love, you are love
You are monsters and angels
Untouched, unseen

All in one, all in one
I take all that you are
'Cause you're just like me
But you move and it's hard
To stay close to a satellite

So I lose sight of you
Till you come round again
I'm watching the wind

Hey ay, hey ay, ay
Anyway the wind's blowin'
How much do you go to be gone?
You are any way the wind blows
Any way the wind blows in

Don't wanna come down too low
Any way the wind blows
Any way the wind blows in

Don't wanna come down
Do you know the way
To be in one place but stay?
Any way the wind's blowin'
Any way the wind's blowin'"
133,133,460,Don't Fence Me In,Tommy Edwards,75,1960-02-29,,,,
137,137,477,Lawdy Miss Clawdy,Gary Stites,63,1960-02-29,,,,
138,138,499,Step By Step,The Crests,90,1960-02-29,,,,"Step by step I fell in love with you
And step by step it wasn't hard to do
Kiss by kiss and hand in hand
That's the way it all began
Soon we found the perfect plan for love
Side by side we took a lovers walk
Word by word we had a lover's talk
One word led to another and then
Then in no time we're up to ten
My heart knew it was gonna end in love

1st step, a sweet hello
2nd step, my heart's aglow
3rd step, we had a date
4th step, we stayed up late
5th step, I walk you home
6th step, we're all alone
7th step, we took a chance
One kiss and true romance


Step by step we climbed to heaven's door
Step by step, each thrill invited more
Then you promised faithfully
All your love belonged to me
Now I know we'll always be in love
Step, step. Step, step. Step, step. Step step"
140,140,496,The Same Old Me,Guy Mitchell,89,1960-02-29,,,,
141,141,495,You Don't Know Me,Lenny Welch,95,1960-02-29,,,,
144,144,486,Chattanooga Choo Choo,Ernie Fields & Orch.,85,1960-02-29,,,,
146,146,479,Werewolf,The Frantics,83,1960-02-29,,,,
147,147,478,Summer Set,Monty Kelly And His Orchestra,82,1960-02-29,,,,
157,157,427,Just Give Me A Ring,Clyde McPhatter,100,1960-02-29,,,,
159,159,557,White Silver Sands,Bill Black's Combo,42,1960-03-14,,,,
166,166,500,Whatcha' Gonna Do,Nat King Cole,92,1960-03-14,,,,
167,167,521,Apple Green,June Valli,75,1960-03-14,,,,
172,172,513,Down By The Riverside,Les Compagnons De La Chanson,86,1960-03-14,,,,
173,173,508,A Closer Walk,Pete Fountain,93,1960-03-14,,,,
174,174,505,Jambalaya,Bobby Comstock And The Counts,95,1960-03-14,,,,
176,176,549,Suddenly,Nickey DeMatteo,90,1960-03-14,,,,"Suddenly I fell in love
So deep in love
I can't recover
Suddenly you smiled at me
It had to be
There is no other
Can't explain the reason why
I love you, love you, love you, love you
Know that when it came to me
It came so suddenly

In my secret dreams of love
I pictured that first kiss
But my wildest schemes of love
Never fashioned this

Suddenly I took your hand
You held my hand
No words were spoken
Quietly we walked alone
And talked alone
Til dawn had broken
Found the words to tell you why
I love you love you love you love you
Know that when it came to me
It came so suddenly
In my secret dreams of love
I pictured that first kiss
But my wildest schemes of love
Never fashioned this

Suddenly I took your hand
You held my hand
No words were spoken
Quietly we walked alone
And talked alone
Til dawn had broken
Found the words to tell you why
I love you love you love you love you
Know that when it came to me
It came so suddenly"
179,179,546,I Love The Way You Love,Marv Johnson,53,1960-03-14,,,,"The sweet things you do to me like holding my hand
When I'm low you let me know you always understand

And, I know (I love) the way you love
You make me feel so fine
I love the way you love
Because I know you're mine, all mine

I'll never do you wrong, I'll never make-a you cry-why-why
If you stop loving me I know that I'll just die

Because I love (I love the way you love)
Yay, it makes me feel (it makes me feel) so fine
And I love (I love) the way you love
Because I know you're mine, all mine

Folks tell me now and then ""Find somebody new""
I don't care what the people may say, I'm stickin' right here with you

Because I love (I love the way you love)
Yay, yay, I know (it makes me feel so fine)
And I love (I love) the way you love
Because I know you're mine, all mine

(I love the way you love)
(It makes me feel so fine)
(I love the way you love)
(Because I know you're mine, all mine)
Folks tell me now and then ""Find somebody new""
I don't care what the people may say, I'm stickin' right here with you

Because I love (I love the way you love)
Yay, it makes me feel ( it makes me feel) so fine
And I love (I love) the way you love
Because I know you're mine, all mine

One more time!

I love (I love the way you love)
The way you hold me, baby
(It makes me feel so fine)
Yay, a-yay, a-yay
I love (I love) the way you love"
191,191,675,Shazam!,Duane Eddy His Twangy Guitar And The Rebels,74,1960-03-28,,,,
193,193,651,Ooh Poo Pah Doo - Part II,Jessie Hill,81,1960-03-28,,,,
198,198,650,Teen-Ex,The Browns Featuring Jim Edward Brown,84,1960-03-28,,,,
203,203,639,I Need You Now,100 Strings and Jono (Choir of 40 Voices),98,1960-03-28,,,,
210,210,772,Cherry Pie,Skip And Flip,55,1960-04-11,,,,"Nah, nah, nah
Nah, nah, nah, whoa-oh, whoa-oh
Nah, nah, nah
Nah, nah, nah, whoa-oh, whoa-oh

Cherry, nah-nah-nah cherry pie nah-nah-nah-nah-nah
Cherry, nah-nah-nah cherry pie nah-nah-nah-nah-nah
Cherry, nah-nah-nah cherry pie , whoa so good
Nah, nah
Nah, nah, nah, whoa-oh, whoa-oh

Sugar, nah-nah-nah sugar plum nah-nah-nah-nah-nah
Sugar, nah-nah-nah sugar plum nah-nah-nah-nah-nah
Sugar, nah-nah-nah sugar plum, sweet as they come
Nah, nah, nah, nah, nah, nah
(Da, da, da, da, da)

Like Little Jack Horner sat, sat, sat in the corner
Eating his cherry, cherry pie
I didn't put in a thumb
I didn't pull out a plum
I guess I'm not as great as he, whoa-oh, whoa-oh

Give me nah-nah-nah give me some nah-nah-nah-nah-nah
Give me nah-nah-nah give me some nah-nah-nah-nah-nah
Give me nah-nah-nah give me some cherry, cherry pie
Nah, nah
Nah, nah, nah, whoa-oh, whoa-oh
Nah, nah, nah
Nah, nah, nah cherry pie
Nah, nah, nah
Nah, nah, nah cherry pie
Fade
Nah, nah, nah
Nah, nah, nah cherry pie"
215,215,798,The Madison Time - Part I,Ray Bryant Combo,99,1960-04-11,,,,
216,216,797,Just A Closer Walk With Thee,Jimmie Rodgers,98,1960-04-11,,,,"Just a closer walk with Thee
Grant it, Jesus, is my plea
Daily walking close to Thee
Let it be, dear Lord, let it be

I am weak but Thou art strong
Jesus, keep me from all wrong
I'll be satisfied as long
As I walk, let me walk close to Thee

Thro' this world of toil and snares
If I falter, Lord, who cares?
Who with me my burden shares?
None but Thee, dear Lord, none but Thee

When my feeble life is o'er
Time for me will be no more
Guide me gently, safely o'er
To they Kingdom's shore, to thy shore"
217,217,795,Never Let Me Go,Lloyd Price and His Orchestra,96,1960-04-11,,,,
218,218,794,How Deep Is The Ocean,Miss Toni Fisher,95,1960-04-11,,,,
219,219,792,What Do You Want?,Bobby Vee,93,1960-04-11,,,,
221,221,784,The Madison,Al Brown's Tunetoppers Featuring Cookie Brown,85,1960-04-11,,,,
222,222,783,Think Me A Kiss,Clyde McPhatter,84,1960-04-11,,,,
225,225,717,Love You So,Ron Holden with The Thunderbirds,52,1960-04-11,,,,
248,248,815,When You Wish Upon A Star,Dion & The Belmonts,85,1960-04-25,,,,"When a star is born
They possess a gift or two
One of them is this
They have the power to make a wish come true

When you wish upon a star
Makes no difference who you are
Anything your heart desires will come to you

If your heart is in your dream
No request is too extreme
When you wish upon a star as dreamers do

Fate is kind
She brings to those who love
The sweet fulfillment of their secret longing

Like a bolt out of the blue
Fate steps in and sees you through
When you wish upon a star
Your dreams come true"
250,250,811,"Someone Loves You, Joe",The Singing Belles,91,1960-04-25,,,,
251,251,808,My Empty Room,Little Anthony And The Imperials,86,1960-04-25,,,,"Why must I sit here
In my empty room
Why did you leave me darling
Oh so soon

Was it a game dear
Am I to blame dear?
Your memory lingers on
Like sweet perfume

Every time you touched me
I would chill
Every kiss you gave me
Was a thrill

I sit here in my empty room
And cry
My heart is breaking
Since you said goodbye

Ooh how it's yearning
Ooh how it's burning
I need you oh so much
That I could die (I could die)

Please set me free dear
Come back to me dear
Don't leave mе here dear
In my еmpty room"
252,252,806,"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page,97,1960-04-25,,,,
253,253,803,Last Chance,Collay & the Satellites,94,1960-04-25,,,,
254,254,802,No If's - No And's,Lloyd Price and His Orchestra,93,1960-04-25,,,,
255,255,801,Easy Lovin',Wade Flemons,92,1960-04-25,,,,
256,256,849,A Star Is Born (A Love Has Died),Mark Dinning,87,1960-04-25,,,,
258,258,845,Beautiful Obsession,Sir Chauncey and his exciting strings,99,1960-04-25,,,,
263,263,826,The Way Of A Clown,Teddy Randazzo,70,1960-04-25,,,,
269,269,958,Think,James Brown And The Famous Flames,61,1960-05-09,,,,
272,272,986,Put Your Arms Around Me Honey,Ray Smith,91,1960-05-09,,,,
273,273,976,Pennies From Heaven,The Skyliners,100,1960-05-09,,,,"Every time it rains, it rains
Pennies from heaven (from heaven)

Don't you know each cloud contains
Pennies from heaven (from heaven)

You'll find your fortunes falling all over town
Make sure your umbrella is upside down (baby don’t you know)

Trade them for a package of sunshine and flowers
If you want the things you love, you must have showers

So when you hear it thunder, don't run under a tree
There'll be pennies from heaven for you and me

(Every time it rains, it rains)
(Pennies from heaven)

(Don't you know each cloud contains)
(Pennies from heaven)

You'll find your fortunes falling all over town
Make sure that your umbrella (make sure your umbrella is upside down)
(Baby don’t you know)

Trade them for a package of sunshine and flowers
If you want the things you love, you must have showers
So when you hear it thunder, don't run under a tree
There'll be pennies from heaven for you and me

(So take a big deep breath of the clean fresh air)
(Put a smile on your face, be a millionaire)
(The streets outside are paved with gold)
(There’ll be pennies from heaven)
(For you and for me)"
275,275,997,A Cottage For Sale,Little Willie John,95,1960-05-09,,,,"[Verse 1]
A little dream castle with every dream gone
Is lonely and silent, the shades are all drawn
And my heart is heavy as I gaze upon
A cottage for sale

[Verse 2]
The lawn we were proud of is waving in hay
Our beautiful garden has withered away
Where you planted roses the weeds seem to say
""A cottage for sale""

[Chorus]
From every single window
I see your face
But when I reach the window
There's an empty space

[Verse 3]
The key's in the mailbox, the same as before
But no one is waiting for me anymore
The end of our story is told on the door
A cottage for sale

[Chorus]
From every single window
I see your face
But when I reach the window
There's an empty space
[Verse 3]
The key's in the mailbox, the same as before
But no one is waiting for me anymore
The end of our story is told on the door
A cottage for sale"
278,278,983,Theme For Young Lovers,Percy Faith And His Orchestra,85,1960-05-09,,,,
279,279,980,Pink Chiffon,Mitchell Torok,82,1960-05-09,,,,
280,280,979,"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus,81,1960-05-09,,,,
281,281,988,Jump Over,Freddy Cannon,86,1960-05-09,,,,
284,284,912,For Love,Lloyd Price and His Orchestra,51,1960-05-09,,,,
298,298,1070,National City,"Joiner, Arkansas Junior High School Band",72,1960-05-23,,,,
301,301,1054,City Lights,Debbie Reynolds,55,1960-05-23,,,,
304,304,1062,Shadows Of Love,LaVern Baker,98,1960-05-23,,,,
306,306,1097,Down The Aisle,Ike Clanton,95,1960-05-23,,,,
308,308,1093,La Montana (If She Should Come To You),Frank DeVol And His Rainbow Strings,91,1960-05-23,,,,
309,309,1092,Mojo Workout (Dance),Larry Bright,90,1960-05-23,,,,
311,311,1075,Exclusively Yours,"Carl Dobkins, Jr.",86,1960-05-23,,,,
331,331,1171,One Of Us (Will Weep Tonight),Patti Page,100,1960-06-06,,,,
341,341,1149,The Yen Yet Song,Gary Cane And His Friends,99,1960-06-06,,,,
344,344,1111,Spring Rain,Pat Boone,54,1960-06-06,,,,
346,346,1106,Biology,Danny Valentino,97,1960-06-06,,,,
347,347,1105,Banjo Boy,Jan And Kjeld,96,1960-06-06,,,,"Jeden Abend geht er durch die Straßen
In der kleinen Stadt in Tennessee
Und die großen und die kleinen Leute
Kennen alle seine Melodie
Sing ein Lied, sing ein Lied, little Banjo Boy, Banjo Boy, Banjo Boy
Denn Musik, denn Musik, little Banjo Boy, Banjo Boy, ist unser Glück
So ein Sing-sage-dige-dang-sing-sang unter?m blauen Himmelzelt
Ist das Sing-sage-dige-dang-sing-sang allerschönste von der Welt
Sing ein Lied, sing ein Lied, little Banjo Boy, Banjo Boy, Banjo Boy
Sing ein Lied, sing ein Lied, little Banjo Boy, Banjo Boy, Banjo Boy
So ein Sing-sage-dige-dang-sing-sang unter?m blauen Himmelzelt
Ist das Sing-sage-dige-dang-sing-sang allerschönste von der Welt
Sing ein Lied, sing ein Lied, little Banjo Boy, Banjo Boy, Banjo Boy"
348,348,1102,Heartbreak (It's Hurtin' Me),Jon Thomas and Orchestra,93,1960-06-06,,,,
349,349,1101,Alley-Oop,The Dyna-Sores,92,1960-06-06,,,,
350,350,1100,Ain't Gonna Be That Way,Marv Johnson,91,1960-06-06,,,,
351,351,1121,Down Yonder,Johnny And The Hurricanes,76,1960-06-06,,,,
356,356,1140,Train Of Love,Annette With The Afterbeats,90,1960-06-06,,,,
357,357,1138,Comin' Down With Love,Mel Gadson,94,1960-06-06,,,,
373,373,1273,Mister Lonely,The Videls,73,1960-06-20,,,,
377,377,1298,I Can't Help It,Adam Wade,94,1960-06-20,,,,
378,378,1297,Tuxedo Junction,Frankie Avalon,93,1960-06-20,,,,
379,379,1296,Look For A Star,Billy Vaughn And His Orchestra,92,1960-06-20,,,,
380,380,1292,Bad Man Blunder,The Kingston Trio,95,1960-06-20,,,,"[Verse 1]
Well, early one evenin' I was roamin' around
I was feelin' kind of mean, I shot a deputy down
Strolled along home, and I went to bed
Well, I laid my pistol up under my head

[Chorus]
(He strolled along home) I took my time
(And he went to bed) Thought I'd sleep some
(Laid his pistol) Big twenty-two

(Up under his head) I keep it handy

[Verse 2]
Well, early in mornin' 'bout the break of day
I figured it was time to make my getaway
Steppin' right along but I was steppin' too slow
Got surrounded by a sheriff down in Mexico

[Chorus]
(He was steppin' right along) I were hot-footin' it
(But he was steppin' too slow) It was a sultry day
(Got surrounded by a sheriff) Boxed in
(In Mexico) I didn't even have a chance to see the country

[Verse 3]
When I was arrested, well, I didn't have a dime
The sheriff said, ""Son, you're ridin' free this time
Where you're goin' you won't need a cent
'Cause the great state of Texas gonna pay your rent""
[Chorus]
(""'Cause where you're goin'"") I think he means jail
(""You won't need a cent"") Well, he knows I'm broke
(""'Cause the great state of Texas"") Yippee!
(""Gonna pay your rent"") I'm mighty grateful, fellas

[Verse 4]
Well, I didn't have a key, and I didn't have a file
Naturally I stayed around until my trial
Judge was an old man, ninety-three
And I didn't like the way the jury looked at me

[Chorus]
(Well, the judge was an old man) Too old
(Ninety-three) Entirely too old
I didn't like the way
The jury looked at me, I think they were suspicious

[Verse 5]
(The judge and the jury, they did agree)
(They all said, ""Murder in the first degree"")
(The judge said, same, ""I don't know whether to hang you or not
But this here killin' of deputy sheriffs has just naturally got to stop"")
You got a point there, judge!

[Verse 6]
It was a most unsatisfactory trial
They gave me ninety-nine years on the hard rock pile
Ninety and nine on the hard rock ground
All I ever did was shoot a deputy down
[Chorus]
(Ninety and nine) It could have been life
(On the hard rock pile) They might've hung me
(And all he ever did)
(Was shoot a deputy down) This whole thing has sure been a lesson to me

[Outro]
Bang! You're dead!"
384,384,1280,Trouble In Paradise,The Crests,83,1960-06-20,,,,"Calling all angels
Calling all angels
Calling all angels
Woo woo woo
Calling all angels
Calling all angels
Calling all angels
Woo

There's trouble in paradise
And heaven's not the same
Etc"
385,385,1288,All The Love I've Got,Marv Johnson,80,1960-06-20,,,,
395,395,1235,Look For A Star - Part I,Garry Mills,99,1960-06-20,,,,
405,405,1348,Over The Rainbow,The Demensions,100,1960-07-04,,,,
407,407,1318,Question,Lloyd Price and His Orchestra,80,1960-07-04,,,,
408,408,1317,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),Red River Dave,81,1960-07-04,,,,
410,410,1312,Sticks And Stones,Ray Charles and his Orchestra,86,1960-07-04,,,,
412,412,1304,I Shot Mr. Lee,The Bobbettes,95,1960-07-04,,,,
428,428,1467,Be Bop A-Lula,The Everly Brothers,74,1960-07-18,,,,"Well, be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby doll
My baby doll, my baby doll
She's the woman in the red blue jeans
She's the woman that's the queen of the teens
She's the one woman that I know
She's the woman that loves me so

Be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby doll
My baby doll, my baby doll

She's the woman that's a got that beat
She's the woman with the flying feet
She's the one woman that I know
She's the woman that loves me so

Be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby doll
My baby doll, my baby doll
Be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby
Be bop a-lula, I don't mean maybe
Be bop a-lula, she's my baby doll
My baby doll, my baby doll"
434,434,1486,The Twist,Hank Ballard And The Midnighters,87,1960-07-18,,,,
435,435,1494,In The Still Of The Night,Dion & The Belmonts,95,1960-07-18,,,,"In the still of the night
As I gaze from my window
At the moon in it's flight
My thoughts all stray to you

In the still of the night
While the world is in slumber
Oh, the times without number
Darling, when I say to you

Do you love me as I love you
Are you my life to be
My dreams come true

Or will this dream of mine
Fade out of sight like
The moon growing dim on
The rim of the hill
In the chill still of the night
Still of the night"
436,436,1493,I've Been Loved Before,Shirley and Lee,94,1960-07-18,,,,
437,437,1491,Do You Mind?,Anthony Newley,92,1960-07-18,,,,"If I say I love you do you mind
Make an idol of you do you mind
If I shower you with kisses
If I tell you honey this is
How I think of heaven do you mind

I want to whisper, whisper sweet nothings in your ear
Nothings that are meant for my love alone to hear

So then
If I say I love you do you mind
Make an idol of you do you mind
If I shower you with kisses
If I tell you honey this is
How I think of heaven do you mind

I want to whisper, whisper sweet nothings in your ear
Nothings that are meant for my love alone to hear

So then
If I say I love you do ya mind baby
Make an idol of you do you mind
If I shower you with kisses
If I tell you honey this is
How I think of heaven do you mind
Do you mind
Do you mind
Honey do you mind"
438,438,1490,That's When I Cried,Jimmy Jones,91,1960-07-18,,,,
440,440,1483,"Please Help Me, I'm Falling",Rusty Draper,82,1960-07-18,,,,
449,449,1407,Night Train,The Viscounts,100,1960-07-18,,,,
458,458,1572,Theme From Adventures In Paradise,Jerry Byrd,97,1960-08-01,,,,
