,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
18479,18479,108350,Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",55,2001-12-01,,,,
18487,18487,108428,Round And Round,Jonell & Method Man,98,2001-12-15,,,,
18495,18495,108596,Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha,96,2002-01-12,,,,
18501,18501,108698,Hush Lil' Lady,Corey Featuring Lil' Romeo,96,2002-01-26,,,,
18503,18503,108695,Burn,Mobb Deep Featuring Vita & Noyd,99,2002-01-26,,,,
18504,18504,108718,Some Days You Gotta Dance,Dixie Chicks,66,2002-01-26,,,,"[Verse 1]
It was about five until five on Friday
We were all getting ready to go
And the boss man started screaming
And his veins began to show
He said you and you come with me
Cause you're going to have to stay
My heart was thumping I was jumping
I had to get away

[Chorus]
Some days you gotta dance
Live it up when you get the chance
Because when the world doesn't make no sense
And you're feeling just a little to tense
Gotta loosen up those chains and dance

[Verse 2]
Well I was talking with my baby
Over a small glass of tea
He asked the loaded question
It seems unreal to me that
He said how do you feel about me
My mind was racing I was pacing
But the words just wouldn't come
And there was only one thing
Left to do I feel it coming on
[Chorus]
Some days you gotta dance
Live it up when you get the chance
Because when the world doesn't make no sense
And you're feeling just a little to tense
Gotta loosen up those chains and dance
Some days you gotta dance
Live it up when you get the chance
Because when the world doesn't make no sense
And you're feeling just a little to tense
Gotta loosen up those chains and dance

[Outro]
You got to loosen up those chains and dance
Come on and loosen up those chains and dance"
18507,18507,108860,Girlfriend,*NSYNC Featuring Nelly,70,2002-02-09,,,,
18520,18520,108975,Anything,Jaheim Featuring Next,75,2002-02-23,,,,
18526,18526,108998,Knoc,"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",98,2002-03-09,,,,
18530,18530,109018,A New Day Has Come,Celine Dion,61,2002-03-09,,,,"[Intro]
A new day, ah-ah
A new day, ah-ah

[Verse 1]
I was waiting for so long
For a miracle to come
Everyone told me to be strong
Hold on and don't shed a tear

Through the darkness and good times

I knew I'd make it through
And the world thought I had it all
But I was waiting for you


[Pre-Chorus]
Hush, now
I see a light in the sky
Oh, it's almost blinding me
I can't believe I've been touched
By an angel with love

[Chorus]
Let the rain come down and wash away my tears

Let it fill my soul and drown my fears
Let it shatter the walls
for a new sun

A new day has come
[Post-Chorus]
La, da, da, oh-oh
Oh-oh-oh, oh

[Verse 2]
Where it was dark, now there's light
Where there was pain, now there's joy
Where there was weakness, I found my strength
All in the eyes of a boy


[Pre-Chorus]
Hush, now
I see a light in the sky
Oh, it's almost blinding me
I can't believe I've been touched
By an angel with love

[Chorus]
Let the rain come down and wash away my tears
Let it fill my soul and drown my fears
Let it shatter the walls for a new sun
A new day has
Let the rain come down and wash away my tears
Let it fill my soul and drown my fears
Let it shatter the walls for a new sun
A new day has come
[Post-Chorus]
Oh-oh-oh-oh, oh, ooh (Ooh-ooh)

[Outro]
Hush, now
I see a light in your eyes
All in the eyes of a boy (A new day)
I can't believe I've been touched
By an angel, with love (A new day)
I can't believe I've been touched
By an angel with love (A new day)
(Ooh-ooh-ooh-ooh)"
18547,18547,109232,Closet Freak,Cee-Lo,99,2002-04-06,,,,
18549,18549,109376,Oh Boy,Cam'Ron Featuring Juelz Santana,77,2002-04-20,,,,
18550,18550,109374,Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore",75,2002-04-20,,,,
18552,18552,109301,Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,97,2002-04-20,,,,
18557,18557,109487,Be Here,Raphael Saadiq Featuring D'Angelo,100,2002-05-04,,,,
18574,18574,109534,Whoa Now,B Rich,98,2002-05-18,,,,"[The Jeffersons - TV theme]
We're movin' on up
To the east side (We're movin' on up)
To a deluxe apartment in the sky
We're movin' on up (We're movin' on up)
To the east side (We're movin' on up)
We finally got a piece of the pie

[Verse 1]
Watch these grown men get it, know fo' sho'
Yo, get your back up off the wall and get your feet on the floor
You see the boy at the bar wit the glass so tall
When I'm done baby dogg I'ma show you Baltimore
Right now we gon' party, Bacardi give me some more
It's off the rack the club packed, I'm two-cut like two doors
Of course I do my two-step, I give 'em too much
I mustered up bad, I drop ashes in my cup
I had enough they throwin' bows, see they swingin and shit
I got my arm around this smut dame, puttin' in work
Before we merk I got to book somethin'
So baby stop frontin'
I got the drink and the smoke
Ain't got to buy nothin'
Not bluffin, it's goin' down understand me
I like my birds nasty, I burst in them cashmeres
Everything, and you know what I came for
Right now it's goin' down, let me on the dance floor
[Hook - repeat 2X]
Whoa now, that's what the old heads say
I party like it's my birthday, drinkin and still thirsty
Whoa now, shorty give me what you got
The spot kinda live and I see you gettin hot

[Verse 2]
I came to shake a load off, so take your coat off
Mixed drinks what you think, OJ and Smirnoff
I sip it all - hey, what can I say
See I just got paid so I'm feelin' the swig and I'm tryin' get laid
I'm buyin' drinks and they love it
Divas growin' cheaper
Gucci bag Gucci bucket
Takin' shots from my cousin
He don' know how to act
Came straight out the woods
And the club wit a sack
Like what you know no good
But I know I pimp nasty
Sneakers is off the meter
You can't help wit the clap
Can't help but the boogie
Get loose but don't push me
We came so deep
And we're all wearin' hoodies
All my eighty-dime soldiers
What you doin' tonight
Now, put yo eight-dimes up
You made enough for the night
Let's take a break
Let's spend some cake
You ain't enjoyin' your life
Yo, we been workin' all week
So we gon' do it tonight
Come on
[Hook]

[Verse 3]
All my east-side boys put ya guns up
Pull out the knife cuz we gon' party till the law comes
Them boys yellin' where they from, I represent too
They throwin gang signs; see, I'm throwin' W's (Westside)
I'm screamin 80 dimes, I swear to God it's goin down
I don't remember where I parked, and I'm stuck in town
One night in Baltimore
I bet ya never leave
My boy I know I can't help it but to love these streets
C'mon (We finally got a-)
C'mon, c'mon (We finally-)
C'mon, whoa now (We finally got a piece of the-)
C'mon, c'mon, whoa now (We finally-)
Whoa now (We finally-)
C'mon, c'mon, whoa now (We-we finally got a piece of the pie)
That's what the old heads say
I party like it's my birthday
Drinkin' and still thirsty

[Hook]"
18581,18581,109757,Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,87,2002-06-15,,,,
18582,18582,109756,Day + Night,Isyss Featuring Jadakiss,98,2002-06-15,,,,
18593,18593,109797,Long Time Gone,Dixie Chicks,64,2002-06-29,,,,"[Verse 1]
Daddy sits on a front porch swinging
Looking out on a vacant field
Used to be filled with burley t'bacca
Now he knows it never will
My Brothers found work in Indiana
M' Sisters a nurse at the old folks home
Mama still cooking too much for supper
And me I’ve been a long time gone

[Chorus]
Been a long time gone
No, I ain't hoed a row since I don't know when
Long time gone
And it ain't coming back again

[Verse 2]
Deliah plays that ol' church pian'a
Sitting out on her daddy’s farm
She always thought that we'd be together
Lord I never meant to do her harm
Said she could hear me singin' in the choir
Me, I heard another song
I caught wind and hit the road runnin'
And Lord, I've been a long time gone
[Chorus]
Been a long time gone
Lord, I ain't had a prayer since I don't know when
Long time gone
And it ain't coming back again

[Bridge]
Now me, I went to Nashville
Tryin' to beat the big deal
Playin' down on Broadway
Gettin' there the hard way
Living from a tip jar
Sleeping in my car
Hocking my guitar
Yeah I’m gonna be a star

[Verse 3]
Now, me and Deliah singing every Sunday
Watching the children and the garden grow
We listen to the radio to hear what's cookin’
But the music ain't got no soul

Now they sound tired but they don't sound Haggard

They've got money but they don't have Cash

They got Junior but they don't have Hank

I think, I think, I think
[Outro]
The rest is a long time gone

No, I ain't hit the roof since I don’t know when

Long time gone
And it ain't coming back
I said a long time gone
No, I ain't honked the horn since I don’t know when
Long time gone
And it ain't coming back again
I said a long time, long time, long time gone
Well it’s been a long time
Long time, long time, long time gone
Oh, it's been a long time gone
Long time, long time, long time gone
Yeah yeah"
18600,18600,109988,I've Got You,Marc Anthony,89,2002-07-13,,,,"[Verse 1]
Baby when I think about you
I don't need to think because I just know
That baby it's the way you love me
That makes me so damn sure that your the one

Don't you know that I've waited for you
You are everything I've wanted all my life
Never thought I would find what I need
Till you came along my dreams seemed so far away

[Chorus]
I could be with another girl
And I can take a trip all around the world
But why would I go anywhere when I've got you
I could spend my money on fancy clothes
Meet a thousand women doing videos and shows
But baby I'm so glad that I got you

[Verse 2]
Maybe I just got lucky
Because a chance like this don't come along every day
And can we hold on to what we've got
If I ever lost you girl, my whole life would change

You should know that your life gives me strength
And without you I don't know where I would be
It's because of your shoulder I'm at ease
No matter where I am I'm not alone. eh
[Chorus]
I could be with another girl
And I can take a trip all around the world
But why would I go anywhere when I've got you
I could spend my money on fancy clothes
Meet a thousand women doing videos and shows
But baby I'm so glad that I got you

[Verse 3]
All that I have
Is nothing when it compares to you
And I can't believe
Hoe your love makes me feel
I'm glad that I've got you
And girl you've got me too

[Chorus]
I could be with another girl
And I can take a trip all around the world
But why would I go anywhere when I've got you
I could spend my money on fancy clothes
Meet a thousand women doing videos and shows
But baby I'm so glad that I got you"
18616,18616,110119,All Eyez On Me,Monica,70,2002-08-10,,,,"[Intro: Darkchild]
Yeah, yeah, I see you, girl
Darkchild
I got my eyes on you
Monica, let me see what you working with
Let's dance, yeah
Come on, come on

[Verse 1: Monica]
When I step in the club, so much love
All eyes on me
All the girls and thugs, glasses go up
It's that time, baby
If you're lookin' right and your game is tight
Come chill with me
Get up on the floor and dance some more
The night's just beginning

[Chorus: Monica]
I can feel your eyes on me, you're watchin'
And off up in the club tonight, it's poppin'
And I can tell that you're feeling it, too
Know you do
I can feel your eyes on me, you're watchin'
And off up in the club tonight, it's poppin'
And I can tell that you're feeling it, too
Know you do (Hey)
[Verse 2: Monica]
Now, when I'm doin' my thang
You checking for me
Just step my way
Don't you be too shy or be ashamed
You get love from me
So when we movin' close, we're toe to toe
Just dance with me
And when we've come to an end, me and my friends
We'll do it again

[Chorus: Monica]
I can feel your eyes on me, you're watchin' (Ooh, I can)
And off up in the club tonight, it's poppin' (You know you can)
And I can tell that you're feeling it, too (Have fun)
Know you do (I, I know you do)
I can feel your eyes on me, you're watchin'
And off up in the club tonight, it's poppin' (Yeah, oh)
And I can tell that you're feeling it, too (I'm feeling you too)
Know you do (Hey)

[Post-Chorus: Monica]
Come on, let me see you work it out
I'm a pretty young thang, I'ma turn it out
Party all night, workin' it out
'Til the lights out, 'til the early morn'
Come on, let me see you work it out
I'm a pretty young thang, I'ma turn it out
Party all night, workin' it out
'Til the lights out, 'til the early morn'
[Bridge: Monica]
Don't you know now is the perfect time
I can make it right, makin' you all mine
Baby, tonight, if you hold it down
I can give you all that I got

[Chorus: Monica]
I can feel your eyes on me, you're watchin' (I feel your eyes)
And off up in the club tonight, it's poppin'
(And I feel like I'm loving on you, whoa, oh)
And I can tell that you're feeling it, too
Know you do (Feeling you, too)
I can feel your eyes on me, you're watchin' (Oh-oh)
And off up in the club tonight, it's poppin'
(In the club tonight, ooh, boy)
And I can tell that you're feeling it, too (Feeling it, too)
Know you do (Won't you say that you do?)
I can feel your eyes on me, you're watchin'
(Oh, boy, oh, boy, I see you looking at me)
And off up in the club tonight, it's poppin' (Oh, good)
And I can tell that you're feeling it, too (That you're feeling me, too)
Know you do (Say you'll do, do, do, do)
I can feel your eyes on me, you're watchin'
(Gettin' it on, get it on, get it, get it on)
And off up in the club tonight, it's poppin' (Gettin' it on, who)
And I can tell that you're feeling it, too
Know you do
[Outro: Monica & Darkchild]
Ahh, baby (I see you)
Uh-huh
Ahh, baby (Watching me)
I see you
Ahh, baby (I see you)
I'm watching
Ahh, baby (Best on me)
Yeah, yeah
Ooh (Come on)
And me (Darkchild, Monica, let's go)
Ahh, baby (I see you)
Uh-huh
Ahh, baby (Watching me)
I see you
Ahh, baby (I see you)
Ahh, baby (best on me)"
