,shit,bitch,damn,dick,fuck,ass,hell
1980,11,8,72,3,12,10,97
1990,301,194,253,94,284,246,213
2000,470,352,380,105,489,345,262
2010,1072,1044,582,278,1210,508,377
2020,661,602,312,151,733,270,214
