,shit,bitch,damn,dick,fuck,ass,hell
1980,0.27%,0.19%,1.74%,0.07%,0.29%,0.24%,2.35%
1990,9.19%,5.93%,7.73%,2.87%,8.67%,7.51%,6.51%
2000,14.07%,10.54%,11.38%,3.14%,14.64%,10.33%,7.84%
2010,27.33%,26.61%,14.84%,7.09%,30.84%,12.95%,9.61%
2020,37.11%,33.8%,17.52%,8.48%,41.16%,15.16%,12.02%
