,1,2,5,10 or more
shit,0.1346153846153846,0.2771317829457364,0.5833333333333334,0.8293233082706767
bitch,0.052884615384615384,0.13953488372093023,0.45098039215686275,0.8481203007518797
damn,0.28557692307692306,0.3391472868217054,0.27941176470588236,0.37293233082706767
dick,0.006730769230769231,0.025193798449612403,0.0784313725490196,0.2932330827067669
fuck,0.13846153846153847,0.2655038759689923,0.6078431372549019,0.9172932330827067
ass,0.07692307692307693,0.1569767441860465,0.29411764705882354,0.5082706766917293
hell,0.30480769230769234,0.2771317829457364,0.19607843137254902,0.20676691729323307
